,NO_1_NO_3,NO_3_NO_1,NO_5_NO_3,NO_3_NO_5,NO_4_NO_3,NO_3_NO_4,SE_2_NO_3,NO_3_SE_2,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export
2026-01-01 18:00:00+00:00,0.0,322.3928035,0.0,450.5291945,662.26805475,0.0,532.4211625,0.0,322.3928035,-662.26805475,450.5291945,-532.4211625,-421.76721925000004
2026-01-01 19:00:00+00:00,0.0,299.43358925,0.0,418.90649025,636.5572615,0.0,514.490192,0.0,299.43358925,-636.5572615,418.90649025,-514.490192,-432.70737399999996
2026-01-01 20:00:00+00:00,0.0,316.7064265,0.0,481.54805925,621.02555975,0.0,473.179844,0.0,316.7064265,-621.02555975,481.54805925,-473.179844,-295.95091799999994
2026-01-01 21:00:00+00:00,0.0,265.1981285,0.0,424.80698425,568.4095325000001,0.0,551.205292,0.0,265.1981285,-568.4095325000001,424.80698425,-551.205292,-429.60971175000003
2026-01-01 22:00:00+00:00,0.0,225.5372605,0.0,342.45789975,500.751076,0.0,655.11609525,0.0,225.5372605,-500.751076,342.45789975,-655.11609525,-587.8720109999999
2026-01-01 23:00:00+00:00,0.0,200.012705,0.0,205.3364075,394.6250315,0.0,745.1615127499999,0.0,200.012705,-394.6250315,205.3364075,-745.1615127499999,-734.4374317499999
2026-01-02 00:00:00+00:00,0.0,197.9162965,0.0,174.43102075000002,449.04608675,0.0,828.80378575,0.0,197.9162965,-449.04608675,174.43102075000002,-828.80378575,-905.5025552499999
2026-01-02 01:00:00+00:00,0.0,175.66639475,0.0,185.0930805,418.204288,0.0,868.92789875,0.0,175.66639475,-418.204288,185.0930805,-868.92789875,-926.3727115
2026-01-02 02:00:00+00:00,0.0,139.52378575,0.0,161.48491825000002,385.4760065,0.0,877.59940225,0.0,139.52378575,-385.4760065,161.48491825000002,-877.59940225,-962.06670475
2026-01-02 03:00:00+00:00,0.0,154.9405865,0.0,153.35606525,401.05964725,0.0,892.00507275,0.0,154.9405865,-401.05964725,153.35606525,-892.00507275,-984.7680682499999
2026-01-02 04:00:00+00:00,0.0,186.61450625,0.0,178.63304775,477.03295099999997,0.0,854.3967595,0.0,186.61450625,-477.03295099999997,178.63304775,-854.3967595,-966.1821565
