,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-04 06:00:00+00:00,0.0,2845.7200000000003,1640.38,0.0,2845.7200000000003,1640.38,4486.1
2026-01-04 07:00:00+00:00,0.0,2690.71,1731.32,0.0,2690.71,1731.32,4422.03
2026-01-04 08:00:00+00:00,0.0,2526.48,1830.6100000000001,0.0,2526.48,1830.6100000000001,4357.09
2026-01-04 09:00:00+00:00,0.0,2437.35,1878.53,0.0,2437.35,1878.53,4315.88
2026-01-04 10:00:00+00:00,0.0,2479.14,1764.1799999999998,0.0,2479.14,1764.1799999999998,4243.32
2026-01-04 11:00:00+00:00,0.0,2245.2200000000003,2223.69,0.0,2245.2200000000003,2223.69,4468.91
2026-01-04 12:00:00+00:00,0.0,1997.2,2337.34,0.0,1997.2,2337.34,4334.54
2026-01-04 13:00:00+00:00,0.0,2220.65,2066.84,0.0,2220.65,2066.84,4287.49
2026-01-04 14:00:00+00:00,0.0,2327.46,2090.27,0.0,2327.46,2090.27,4417.73
2026-01-04 15:00:00+00:00,0.0,2613.48,1959.53,0.0,2613.48,1959.53,4573.01
2026-01-04 16:00:00+00:00,0.0,2505.56,1548.99,0.0,2505.56,1548.99,4054.55
2026-01-04 17:00:00+00:00,0.0,2289.11,537.4300000000001,0.0,2289.11,537.4300000000001,2826.54
2026-01-04 18:00:00+00:00,0.0,2032.86,285.46,0.0,2032.86,285.46,2318.3199999999997
2026-01-04 19:00:00+00:00,0.0,2090.7,0.0,189.89,2090.7,-189.89,1900.81
2026-01-04 20:00:00+00:00,0.0,2106.57,0.0,581.71,2106.57,-581.71,1524.8600000000001
2026-01-04 21:00:00+00:00,0.0,2121.04,0.0,600.35,2121.04,-600.35,1520.69
2026-01-04 22:00:00+00:00,0.0,2106.85,150.04000000000002,97.94,2106.85,52.10000000000002,2158.95
2026-01-04 23:00:00+00:00,0.0,2443.62,991.29,0.0,2443.62,991.29,3434.91
2026-01-05 00:00:00+00:00,0.0,2578.48,1295.1399999999999,0.0,2578.48,1295.1399999999999,3873.62
2026-01-05 01:00:00+00:00,0.0,2927.26,1165.83,0.0,2927.26,1165.83,4093.09
2026-01-05 02:00:00+00:00,0.0,2868.0,1387.37,0.0,2868.0,1387.37,4255.37
2026-01-05 03:00:00+00:00,0.0,3080.72,1209.95,0.0,3080.72,1209.95,4290.67
2026-01-05 04:00:00+00:00,0.0,2875.75,667.3100000000001,0.0,2875.75,667.3100000000001,3543.06
2026-01-05 05:00:00+00:00,0.0,2737.89,58.25,75.00999999999999,2737.89,-16.75999999999999,2721.13
2026-01-05 06:00:00+00:00,0.0,2515.5699999999997,0.0,908.28,2515.5699999999997,-908.28,1607.2899999999997
2026-01-05 07:00:00+00:00,0.0,1976.8,0.0,1399.79,1976.8,-1399.79,577.01
2026-01-05 08:00:00+00:00,0.0,1873.0,0.0,1347.53,1873.0,-1347.53,525.47
2026-01-05 09:00:00+00:00,0.0,1915.8,0.0,1195.63,1915.8,-1195.63,720.1699999999998
2026-01-05 10:00:00+00:00,0.0,1911.42,0.0,417.09,1911.42,-417.09,1494.3300000000002
2026-01-05 11:00:00+00:00,0.0,2150.47,91.47,0.0,2150.47,91.47,2241.9399999999996
2026-01-05 12:00:00+00:00,0.0,2208.31,162.19,0.0,2208.31,162.19,2370.5
2026-01-05 13:00:00+00:00,0.0,2202.9700000000003,225.53,0.0,2202.9700000000003,225.53,2428.5000000000005
2026-01-05 14:00:00+00:00,0.0,1764.42,579.11,0.0,1764.42,579.11,2343.53
2026-01-05 15:00:00+00:00,0.0,1585.05,688.91,0.0,1585.05,688.91,2273.96
2026-01-05 16:00:00+00:00,0.0,1697.4299999999998,74.33,137.85,1697.4299999999998,-63.519999999999996,1633.9099999999999
2026-01-05 17:00:00+00:00,0.0,2007.77,0.0,963.32,2007.77,-963.32,1044.4499999999998
2026-01-05 18:00:00+00:00,0.0,2284.12,0.0,842.53,2284.12,-842.53,1441.59
2026-01-05 19:00:00+00:00,0.0,2190.76,0.0,628.8100000000001,2190.76,-628.8100000000001,1561.9500000000003
2026-01-05 20:00:00+00:00,0.0,2404.44,0.0,567.36,2404.44,-567.36,1837.08
2026-01-05 21:00:00+00:00,0.0,2498.5,0.0,367.72,2498.5,-367.72,2130.7799999999997
2026-01-05 22:00:00+00:00,0.0,2723.89,27.85,133.32999999999998,2723.89,-105.47999999999999,2618.41
2026-01-05 23:00:00+00:00,0.0,2823.0699999999997,6.37,181.19,2823.0699999999997,-174.82,2648.2499999999995
2026-01-06 00:00:00+00:00,0.0,2821.05,230.2,15.1,2821.05,215.1,3036.15
2026-01-06 01:00:00+00:00,0.0,2779.7799999999997,626.72,0.0,2779.7799999999997,626.72,3406.5
2026-01-06 02:00:00+00:00,0.0,2601.51,1493.31,0.0,2601.51,1493.31,4094.82
2026-01-06 03:00:00+00:00,0.0,2778.46,1563.3600000000001,0.0,2778.46,1563.3600000000001,4341.82
2026-01-06 04:00:00+00:00,0.0,2798.7200000000003,1499.66,0.0,2798.7200000000003,1499.66,4298.38
2026-01-06 05:00:00+00:00,0.0,2815.23,1853.44,0.0,2815.23,1853.44,4668.67
2026-01-06 06:00:00+00:00,0.0,2744.1000000000004,2050.54,0.0,2744.1000000000004,2050.54,4794.64
2026-01-06 07:00:00+00:00,0.0,2724.58,2761.62,0.0,2724.58,2761.62,5486.2
2026-01-06 08:00:00+00:00,0.0,2847.68,3422.5,0.0,2847.68,3422.5,6270.18
2026-01-06 09:00:00+00:00,0.0,2866.52,4321.18,0.0,2866.52,4321.18,7187.700000000001
2026-01-06 10:00:00+00:00,0.0,2678.86,4095.97,0.0,2678.86,4095.97,6774.83
2026-01-06 11:00:00+00:00,0.0,2809.49,4014.08,0.0,2809.49,4014.08,6823.57
2026-01-06 12:00:00+00:00,0.0,2717.85,4025.9300000000003,0.0,2717.85,4025.9300000000003,6743.780000000001
2026-01-06 13:00:00+00:00,0.0,2777.68,4027.8,0.0,2777.68,4027.8,6805.48
2026-01-06 14:00:00+00:00,0.0,2814.8199999999997,3908.11,0.0,2814.8199999999997,3908.11,6722.93
2026-01-06 15:00:00+00:00,0.0,2680.37,3851.5600000000004,0.0,2680.37,3851.5600000000004,6531.93
2026-01-06 16:00:00+00:00,0.0,2521.2200000000003,2848.0,0.0,2521.2200000000003,2848.0,5369.22
2026-01-06 17:00:00+00:00,0.0,2756.1400000000003,703.9499999999999,0.0,2756.1400000000003,703.9499999999999,3460.09
2026-01-06 18:00:00+00:00,0.0,2510.25,388.39,0.0,2510.25,388.39,2898.64
2026-01-06 19:00:00+00:00,0.0,2379.9300000000003,309.16999999999996,0.0,2379.9300000000003,309.16999999999996,2689.1000000000004
2026-01-06 20:00:00+00:00,0.0,2260.41,640.4499999999999,0.0,2260.41,640.4499999999999,2900.8599999999997
2026-01-06 21:00:00+00:00,0.0,2365.9700000000003,1108.28,0.0,2365.9700000000003,1108.28,3474.25
2026-01-06 22:00:00+00:00,0.0,2140.62,2079.77,0.0,2140.62,2079.77,4220.389999999999
2026-01-06 23:00:00+00:00,0.0,1113.01,2718.4900000000002,0.0,1113.01,2718.4900000000002,3831.5
2026-01-07 00:00:00+00:00,0.0,1244.98,2815.1,0.0,1244.98,2815.1,4060.08
2026-01-07 01:00:00+00:00,0.0,1492.24,2655.9700000000003,0.0,1492.24,2655.9700000000003,4148.21
2026-01-07 02:00:00+00:00,0.0,1298.14,3113.01,0.0,1298.14,3113.01,4411.150000000001
2026-01-07 03:00:00+00:00,0.0,989.57,3193.92,0.0,989.57,3193.92,4183.49
2026-01-07 04:00:00+00:00,0.0,833.3900000000001,2676.05,0.0,833.3900000000001,2676.05,3509.4400000000005
2026-01-07 05:00:00+00:00,92.09,274.53,1644.09,0.0,182.43999999999997,1644.09,1826.53
2026-01-07 06:00:00+00:00,290.48,73.18,403.73,40.81,-217.3,362.92,145.62
2026-01-07 07:00:00+00:00,0.0,1716.48,0.0,249.62,1716.48,-249.62,1466.8600000000001
2026-01-07 08:00:00+00:00,0.0,2099.16,652.3299999999999,0.0,2099.16,652.3299999999999,2751.49
2026-01-07 09:00:00+00:00,0.0,2108.87,2320.74,0.0,2108.87,2320.74,4429.61
2026-01-07 10:00:00+00:00,0.0,2223.8900000000003,2714.06,0.0,2223.8900000000003,2714.06,4937.950000000001
2026-01-07 11:00:00+00:00,0.0,2636.8199999999997,2610.83,0.0,2636.8199999999997,2610.83,5247.65
2026-01-07 12:00:00+00:00,0.0,2648.04,2397.96,0.0,2648.04,2397.96,5046.0
2026-01-07 13:00:00+00:00,0.0,2795.48,2658.9300000000003,0.0,2795.48,2658.9300000000003,5454.41
2026-01-07 14:00:00+00:00,0.0,3042.45,2195.85,0.0,3042.45,2195.85,5238.299999999999
2026-01-07 15:00:00+00:00,0.0,2984.79,1646.01,0.0,2984.79,1646.01,4630.8
2026-01-07 16:00:00+00:00,0.0,2666.13,781.32,0.0,2666.13,781.32,3447.4500000000003
2026-01-07 17:00:00+00:00,0.0,1411.95,217.42000000000002,0.0,1411.95,217.42000000000002,1629.3700000000001
2026-01-07 18:00:00+00:00,0.0,889.27,584.41,0.0,889.27,584.41,1473.6799999999998
2026-01-07 19:00:00+00:00,214.99,213.70999999999998,1331.19,0.0,-1.2800000000000296,1331.19,1329.91
2026-01-07 20:00:00+00:00,1809.2,0.0,1730.3999999999999,0.0,-1809.2,1730.3999999999999,-78.80000000000018
2026-01-07 21:00:00+00:00,1794.84,0.0,2417.75,0.0,-1794.84,2417.75,622.9100000000001
2026-01-07 22:00:00+00:00,882.87,0.0,2740.27,0.0,-882.87,2740.27,1857.4
2026-01-07 23:00:00+00:00,79.08,417.33000000000004,2789.75,0.0,338.25000000000006,2789.75,3128.0
2026-01-08 00:00:00+00:00,0.0,2013.2200000000003,2335.8599999999997,0.0,2013.2200000000003,2335.8599999999997,4349.08
2026-01-08 01:00:00+00:00,0.0,3404.88,1955.93,0.0,3404.88,1955.93,5360.81
2026-01-08 02:00:00+00:00,0.0,3520.92,2037.5099999999998,0.0,3520.92,2037.5099999999998,5558.43
2026-01-08 03:00:00+00:00,0.0,3420.92,2004.22,0.0,3420.92,2004.22,5425.14
2026-01-08 04:00:00+00:00,0.0,3519.96,1746.8,0.0,3519.96,1746.8,5266.76
2026-01-08 05:00:00+00:00,0.0,2680.52,1423.18,0.0,2680.52,1423.18,4103.7
2026-01-08 06:00:00+00:00,0.0,2338.07,429.04,0.0,2338.07,429.04,2767.11
2026-01-08 07:00:00+00:00,0.0,2181.48,27.11,3.41,2181.48,23.7,2205.18
2026-01-08 08:00:00+00:00,0.0,2195.19,927.0699999999999,0.0,2195.19,927.0699999999999,3122.26
