,NO_2_NO_1,NO_1_NO_2,SE_3_NO_1,NO_1_SE_3,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export
2026-01-13 22:00:00+00:00,59.130613749999995,27.428389250000002,543.986045,0.0,0.0,397.66468150000003,0.0,2736.4831,-31.702224499999993,-397.66468150000003,-2736.4831,-543.986045,-3709.836051
2026-01-13 23:00:00+00:00,0.0,672.57311825,763.5448154999999,0.0,0.0,414.72120275,0.0,2818.4050635,672.57311825,-414.72120275,-2818.4050635,-763.5448154999999,-3324.0979635
2026-01-14 00:00:00+00:00,0.0,1233.56849075,1230.0109015,0.0,0.0,426.24792725,0.0,2731.07735025,1233.56849075,-426.24792725,-2731.07735025,-1230.0109015,-3153.76768825
2026-01-14 01:00:00+00:00,0.0,1621.75669625,1597.34265625,0.0,0.0,425.36016825,0.0,2591.11357275,1621.75669625,-425.36016825,-2591.11357275,-1597.34265625,-2992.059701
2026-01-14 02:00:00+00:00,0.0,1694.235612,1678.178777,0.0,0.0,410.97636875,0.0,2525.712928,1694.235612,-410.97636875,-2525.712928,-1678.178777,-2920.63246175
2026-01-14 03:00:00+00:00,0.0,1756.3333162499998,1664.337378,0.0,0.0,395.802373,0.0,2553.21396175,1756.3333162499998,-395.802373,-2553.21396175,-1664.337378,-2857.0203965
2026-01-14 04:00:00+00:00,0.0,1700.2841760000001,1605.4624617499999,0.0,0.0,406.910964,0.0,2617.7881755,1700.2841760000001,-406.910964,-2617.7881755,-1605.4624617499999,-2929.8774252499998
2026-01-14 05:00:00+00:00,0.0,1020.7472622500001,1220.61491225,0.0,0.0,396.1797355,0.0,2745.5286484999997,1020.7472622500001,-396.1797355,-2745.5286484999997,-1220.61491225,-3341.5760339999997
2026-01-14 06:00:00+00:00,51.28053425,115.56097975,609.3845249999999,0.0,0.0,374.50381,0.0,2826.17783,64.2804455,-374.50381,-2826.17783,-609.3845249999999,-3745.7857195
2026-01-14 07:00:00+00:00,211.47821575,0.0,515.0553355,0.0,0.0,323.7400455,0.0,2697.6988792499997,-211.47821575,-323.7400455,-2697.6988792499997,-515.0553355,-3747.972476
2026-01-14 08:00:00+00:00,0.0,343.92110175,1141.30671975,0.0,0.0,351.760729,0.0,2618.3578645,343.92110175,-351.760729,-2618.3578645,-1141.30671975,-3767.5042114999997
2026-01-14 09:00:00+00:00,268.12607425,0.0,748.0059675,0.0,0.0,311.7215565,0.0,2499.69862725,-268.12607425,-311.7215565,-2499.69862725,-748.0059675,-3827.5522254999996
2026-01-14 10:00:00+00:00,181.88049124999998,0.0,876.37189775,0.0,0.0,323.53830175,0.0,2504.693074,-181.88049124999998,-323.53830175,-2504.693074,-876.37189775,-3886.48376475
2026-01-14 11:00:00+00:00,270.9255735,0.0,867.5914075000001,0.0,0.0,308.2440555,0.0,2515.1672065000002,-270.9255735,-308.2440555,-2515.1672065000002,-867.5914075000001,-3961.9282430000003
2026-01-14 12:00:00+00:00,105.66051625,0.71572725,1113.2777635,0.0,0.0,322.33737775,0.0,2420.2899845,-104.944789,-322.33737775,-2420.2899845,-1113.2777635,-3960.8499147500006
2026-01-14 13:00:00+00:00,377.179521,0.0,885.700934,0.0,0.0,286.3199975,0.0,2316.67561875,-377.179521,-286.3199975,-2316.67561875,-885.700934,-3865.87607125
2026-01-14 14:00:00+00:00,1003.273217,0.0,225.01534675,0.0,0.0,283.497054,0.0,2270.91069275,-1003.273217,-283.497054,-2270.91069275,-225.01534675,-3782.6963105
2026-01-14 15:00:00+00:00,1174.5914842500001,0.0,71.51069525,110.09604075,0.0,280.733187,0.0,2514.96872,-1174.5914842500001,-280.733187,-2514.96872,38.5853455,-3931.70804575
2026-01-14 16:00:00+00:00,1389.31815175,0.0,0.0,579.3876495,0.0,281.85256499999997,0.0,2782.6026545,-1389.31815175,-281.85256499999997,-2782.6026545,579.3876495,-3874.3857217499994
2026-01-14 17:00:00+00:00,750.50122375,0.0,141.07580074999998,22.019579,0.0,330.014137,0.0,2644.956933,-750.50122375,-330.014137,-2644.956933,-119.05622174999999,-3844.5285155
2026-01-14 18:00:00+00:00,489.97473775000003,0.0,146.72386225,0.0,0.0,349.0565335,0.0,2863.00060575,-489.97473775000003,-349.0565335,-2863.00060575,-146.72386225,-3848.75573925
2026-01-14 19:00:00+00:00,494.48911075,0.0,131.93626375000002,0.0,0.0,350.006261,0.0,2941.43354575,-494.48911075,-350.006261,-2941.43354575,-131.93626375000002,-3917.86518125
2026-01-14 20:00:00+00:00,303.09472025,0.0,416.241168,0.0,0.0,367.1006465,0.0,2882.442797,-303.09472025,-367.1006465,-2882.442797,-416.241168,-3968.87933175
2026-01-14 21:00:00+00:00,89.49314975,16.22727,642.24717275,0.0,0.0,360.59585525,0.0,2728.65399875,-73.26587975,-360.59585525,-2728.65399875,-642.24717275,-3804.7629065
2026-01-14 22:00:00+00:00,0.0,287.44538875,877.17281625,0.0,0.0,384.37149975,0.0,2644.70163975,287.44538875,-384.37149975,-2644.70163975,-877.17281625,-3618.800567
2026-01-14 23:00:00+00:00,0.0,167.74194975,730.030005,0.0,0.0,390.72056625,0.0,2525.76182875,167.74194975,-390.72056625,-2525.76182875,-730.030005,-3478.77045025
2026-01-15 00:00:00+00:00,0.0,172.02795025,544.53036275,0.0,0.0,390.9142145,0.0,2557.09010025,172.02795025,-390.9142145,-2557.09010025,-544.53036275,-3320.50672725
2026-01-15 01:00:00+00:00,139.70936275,125.75151525,634.8740865,0.0,0.0,388.52917275000004,0.0,2252.0438507500003,-13.9578475,-388.52917275000004,-2252.0438507500003,-634.8740865,-3289.4049575000004
2026-01-15 02:00:00+00:00,584.270811,0.0,478.97398150000004,0.0,0.0,388.8778635,0.0,1875.3987435,-584.270811,-388.8778635,-1875.3987435,-478.97398150000004,-3327.5213995000004
2026-01-15 03:00:00+00:00,852.55387125,0.0,349.42442825,0.0,0.0,383.5968735,0.0,1769.70243775,-852.55387125,-383.5968735,-1769.70243775,-349.42442825,-3355.27761075
2026-01-15 04:00:00+00:00,830.05341875,0.0,192.898716,0.0,0.0,377.368263,0.0,2027.78337925,-830.05341875,-377.368263,-2027.78337925,-192.898716,-3428.1037770000003
2026-01-15 05:00:00+00:00,920.4889955,0.0,136.63750125,217.39630125,0.0,368.18888225,0.0,2587.05533625,-920.4889955,-368.18888225,-2587.05533625,80.75879999999998,-3794.974414
2026-01-15 06:00:00+00:00,1810.4047,0.0,0.0,796.08554825,0.0,307.66829375,0.0,2869.1504125,-1810.4047,-307.66829375,-2869.1504125,796.08554825,-4191.137858
2026-01-15 07:00:00+00:00,2416.21765,0.0,0.0,1253.127655,0.0,274.34494825,0.0,2903.4199415000003,-2416.21765,-274.34494825,-2903.4199415000003,1253.127655,-4340.854884750001
2026-01-15 08:00:00+00:00,2519.235049,0.0,0.0,1392.877411,0.0,251.18601375,0.0,2944.70127525,-2519.235049,-251.18601375,-2944.70127525,1392.877411,-4322.244927
2026-01-15 09:00:00+00:00,2639.65531075,0.0,0.0,1210.6916807500002,0.0,246.038992,0.0,2655.0456544999997,-2639.65531075,-246.038992,-2655.0456544999997,1210.6916807500002,-4330.0482765
2026-01-15 10:00:00+00:00,2744.38580225,0.0,0.0,1192.1242065000001,0.0,254.899014,0.0,2483.08136875,-2744.38580225,-254.899014,-2483.08136875,1192.1242065000001,-4290.2419785
2026-01-15 11:00:00+00:00,2891.06715775,0.0,0.0,1334.84317025,0.0,228.25296674999998,0.0,2463.66411025,-2891.06715775,-228.25296674999998,-2463.66411025,1334.84317025,-4248.1410645
2026-01-15 12:00:00+00:00,2764.2895875,0.0,0.0,1478.9232482500001,0.0,251.612154,0.0,2606.4046762499997,-2764.2895875,-251.612154,-2606.4046762499997,1478.9232482500001,-4143.3831695
2026-01-15 13:00:00+00:00,2258.94056,0.0,0.0,1353.38992275,0.0,253.7567005,0.0,2922.17918025,-2258.94056,-253.7567005,-2922.17918025,1353.38992275,-4081.486518
2026-01-15 14:00:00+00:00,1701.15900925,0.0,0.0,976.14662175,0.0,244.842224,0.0,2913.2872712500002,-1701.15900925,-244.842224,-2913.2872712500002,976.14662175,-3883.14188275
