,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-04 21:00:00+00:00,20.62220025,326.4849125,24.263033,47.9214665,0.0,87.34675825,1371.31723,1877.9556005000002,0.0,226.65535325,1775.808825,1877.9556005000002,2002.46417825,-124.50857774999986
2026-02-04 22:00:00+00:00,20.555401500000002,355.318172,30.119962,48.0751285,0.0,87.31293775,1283.2563025,1824.63790425,0.0,448.97180775,1705.30691,1824.63790425,2154.27871775,-329.6408134999999
2026-02-04 23:00:00+00:00,20.48020075,413.3706075,48.627884249999994,60.91949275,0.0,87.3580035,1223.24588,1854.00206875,0.0,654.8503035,1670.4122425,1854.00206875,2325.262546,-471.2604772499999
2026-02-05 00:00:00+00:00,20.63719475,382.233475,24.210436,49.19566925,0.0,87.40080325,1148.6279175,1712.3054957499999,0.0,664.44637375,1654.46279,1712.3054957499999,2318.90916375,-606.6036680000002
2026-02-05 01:00:00+00:00,20.56260225,385.63460050000003,24.23375875,47.654852250000005,0.0,87.41541624999999,1086.832405,1652.3336350000002,0.0,662.46907625,1655.78972,1652.3336350000002,2318.25879625,-665.92516125
2026-02-05 02:00:00+00:00,20.61556475,370.370433,36.8398355,49.04563425,0.0,87.35349975,1010.2077765,1574.43274375,0.0,660.05641625,1667.7670725,1574.43274375,2327.8234887500003,-753.3907450000002
2026-02-05 03:00:00+00:00,20.58923625,359.52934849999997,30.633484499999998,52.10447375,0.0,87.38436675,983.18981625,1533.430726,0.0,596.6923485000001,1736.63004,1533.430726,2333.3223885,-799.8916625000002
2026-02-05 04:00:00+00:00,20.500201500000003,377.16281475,24.361429,52.67251975,0.0,87.28981925,946.952136,1508.9389202500001,0.0327375,0.0,1968.8734175,1508.97165775,1968.8734175,-459.9017597499999
2026-02-05 05:00:00+00:00,20.52073275,375.31959175,24.2937805,55.499432,0.69177625,87.28066225,957.2319615,1520.837937,0.6445835,0.0,2176.6114900000002,1521.4825205,2176.6114900000002,-655.1289695000003
2026-02-05 06:00:00+00:00,20.8235025,411.754842,24.28610425,56.44380325,15.54080025,87.56451924999999,966.2961985,1582.70977,188.6914355,0.0,2329.1518875,1771.4012054999998,2329.1518875,-557.7506820000003
2026-02-05 07:00:00+00:00,20.911651499999998,422.404093,24.29030325,71.23429949999999,53.560156,91.6158135,931.2817135,1615.29803025,205.15574925,0.0,2411.7151925,1820.4537795,2411.7151925,-591.2614129999997
2026-02-05 08:00:00+00:00,21.164897,442.74596925000003,24.292185,84.7345745,85.99035075,91.59923725,815.98936225,1566.516576,224.16159775000003,0.0,2421.4090575,1790.67817375,2421.4090575,-630.73088375
2026-02-05 09:00:00+00:00,21.143971999999998,436.80920675,24.292375999999997,68.750363,98.75765725,92.594939,725.071162,1467.419676,207.19154525,0.0,2407.9239724999998,1674.61122125,2407.9239724999998,-733.3127512499998
2026-02-05 10:00:00+00:00,21.128735250000002,443.66888274999997,24.288929500000002,66.60049875,97.20856375,92.899664,658.852616,1404.6478900000002,204.0307485,0.0,2349.5390675,1608.6786385000003,2349.5390675,-740.8604289999996
2026-02-05 11:00:00+00:00,21.09102575,432.259661,24.307691249999998,71.36593625,82.74239025,97.214438,683.84455025,1412.8256927500001,210.36500900000001,0.0,2325.83187,1623.1907017500002,2325.83187,-702.6411682499997
2026-02-05 12:00:00+00:00,20.96273575,427.79744575,24.28500675,66.9582205,59.88442,102.683443,684.99891725,1387.570189,203.67155125,0.0,2275.0122,1591.24174025,2275.0122,-683.7704597500001
2026-02-05 13:00:00+00:00,21.0455715,436.179254,35.95534475,62.2928095,27.69423375,101.78591925,745.59786175,1430.5509945,203.081299,0.0,2233.42094,1633.6322934999998,2233.42094,-599.7886465000001
2026-02-05 14:00:00+00:00,21.084895500000002,415.14034375,47.4337615,64.08821425,4.79294725,102.28884675,872.6888775,1527.5178865,205.00976,0.0,2191.213475,1732.5276465,2191.213475,-458.68582850000007
2026-02-05 15:00:00+00:00,20.99392775,373.007135,47.43206575,78.74641324999999,0.126225,102.34672725,910.932355,1533.5848489999998,221.99169925,0.0,2222.1733825,1755.5765482499999,2222.1733825,-466.59683425000026
2026-02-05 16:00:00+00:00,20.912959,371.086359,47.42734025,61.54713875,1.1e-05,102.26694675,920.0838735,1523.32462825,203.31268675,0.0,2234.9015975,1726.637315,2234.9015975,-508.26428250000026
2026-02-05 17:00:00+00:00,21.065603,384.39738475,47.42720275,53.39530425,0.0,102.3851445,911.16621375,1519.836853,202.79353824999998,0.0,2176.5908525,1722.63039125,2176.5908525,-453.96046125
2026-02-05 18:00:00+00:00,20.560962500000002,353.724335,41.605621,55.77796075,0.0,103.36056500000001,914.78990125,1489.8193455,0.03098575,0.0,2101.5192024999997,1489.85033125,2101.5192024999997,-611.6688712499997
2026-02-05 19:00:00+00:00,20.884573500000002,369.73036775,24.44142375,50.84389625,0.0,102.2455715,778.53464325,1346.680476,0.0,0.0,1991.78795,1346.680476,1991.78795,-645.1074739999999
2026-02-05 20:00:00+00:00,21.105823,424.95137475,49.336299499999996,71.55964075,0.0,103.54170575,633.69503525,1304.189879,9.6994175,0.0,1831.67703,1313.8892965,1831.67703,-517.7877335000001
2026-02-05 21:00:00+00:00,21.00893175,379.09126200000003,30.5898885,64.86742075000001,0.0,103.7239405,639.42591125,1238.70735475,2.645545,0.0,1694.9219699999999,1241.35289975,1694.9219699999999,-453.56907024999987
2026-02-05 22:00:00+00:00,18.49720375,382.00204575,24.2853,61.1344105,0.0,102.237517,648.3668722499999,1236.52334925,0.0,0.0,1629.7330775,1236.52334925,1629.7330775,-393.2097282500001
2026-02-05 23:00:00+00:00,16.84,510.37086225,43.003093750000005,80.65070275,0.0,98.0619395,606.14158125,1355.0681795,0.0,207.7223325,1594.4386650000001,1355.0681795,1802.1609975000001,-447.0928180000001
2026-02-06 00:00:00+00:00,16.84,510.967058,30.07468625,73.87194149999999,0.0,103.74769275,575.7744984999999,1311.2758769999998,0.0,216.06947,1560.5546125,1311.2758769999998,1776.6240825,-465.3482055000002
2026-02-06 01:00:00+00:00,16.84,510.0317735,24.291615,88.65918500000001,0.0,103.77796425,514.3099187500001,1257.9104565,0.0,213.99949924999999,1553.24195,1257.9104565,1767.2414492500002,-509.3309927500002
