,Fossil Gas,Hydro Run-of-river and poundage,Wind Onshore,Hydro Water Reservoir,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-21 20:00:00+00:00,142.2228195,192.0133685,146.86133175,2032.8585197500001,19.63923975,2533.59527925,0.0,0.0,2798.1175000000003,2533.59527925,2798.1175000000003,-264.5222207500001
2026-02-21 21:00:00+00:00,141.36669275,192.635646,142.56198925,1780.0388785,22.532182249999998,2279.13538875,0.0,0.0,2766.44,2279.13538875,2766.44,-487.3046112500001
2026-02-21 22:00:00+00:00,140.510692,190.656889,130.32173375,1727.6824285,24.2444835,2213.41622675,0.0,0.0,2724.9175,2213.41622675,2724.9175,-511.50127324999994
2026-02-21 23:00:00+00:00,139.0805735,181.43834025,161.0868735,1673.4015285,24.4622925,2179.46960825,0.0,0.0,2681.74,2179.46960825,2681.74,-502.2703917499998
2026-02-22 00:00:00+00:00,138.728941,165.67566575,160.56149275,1632.53951875,24.97760925,2122.4832275000003,0.0,0.0,2659.5125,2122.4832275000003,2659.5125,-537.0292724999995
2026-02-22 01:00:00+00:00,137.71661675,168.348899,166.56715674999998,1676.93037675,25.265103500000002,2174.82815275,0.0,0.0,2626.87,2174.82815275,2626.87,-452.04184725000005
2026-02-22 02:00:00+00:00,137.5129875,177.403254,151.3233405,1724.3735265,23.803977,2214.4170855,0.0,0.0,2608.2925,2214.4170855,2608.2925,-393.8754144999998
2026-02-22 03:00:00+00:00,137.577226,179.174722,143.01440175,1734.6534385,24.133935,2218.5537232499996,0.0,0.0,2603.84,2218.5537232499996,2603.84,-385.2862767500005
2026-02-22 04:00:00+00:00,137.59660325,179.97335675,152.224848,1712.58679775,24.92672025,2207.308326,0.0,0.0,2617.6175,2207.308326,2617.6175,-410.309174
2026-02-22 05:00:00+00:00,138.18704624999998,163.95500325,141.19430425000002,1716.33214625,24.1902985,2183.8587985000004,0.0,0.0,2633.9075,2183.8587985000004,2633.9075,-450.0487014999994
2026-02-22 06:00:00+00:00,137.99769974999998,165.72222225000002,143.99366725,1963.40281875,22.1453805,2433.2617885,0.0,0.0,2634.1275,2433.2617885,2634.1275,-200.8657115000001
2026-02-22 07:00:00+00:00,138.00520375,201.6650015,110.6896565,2460.6358995,21.982467,2932.97822825,0.0,0.0,2686.4425,2932.97822825,2686.4425,246.53572824999992
2026-02-22 08:00:00+00:00,138.20439925,205.26880825,116.99283275,2869.7059934999997,21.9331745,3352.1052082499996,0.0,0.0,2715.4825,3352.1052082499996,2715.4825,636.6227082499995
2026-02-22 09:00:00+00:00,138.747768,205.6774655,134.13913925,2982.2371115,25.437222249999998,3486.2387065000003,0.0,0.0,2695.375,3486.2387065000003,2695.375,790.8637065000003
2026-02-22 10:00:00+00:00,140.5561085,207.4657205,116.6382095,3043.5518145,28.1286845,3536.3405375,0.0,0.0,2670.7775,3536.3405375,2670.7775,865.5630375000001
2026-02-22 11:00:00+00:00,141.242972,207.16514375,94.3201045,2852.95356125,26.8340095,3322.515791,0.0,0.0,2627.6175,3322.515791,2627.6175,694.898291
