,Biomass,Fossil Oil,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Geothermal,Fossil Coal-derived gas,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 13:00:00+00:00,11.0,9.0,0.0,14.5,433.25,15.5,143.0,0.0,0.0,470.75,1097.0,0.0,294.5,765.5,1097.0,1060.0,37.0
2026-01-01 14:00:00+00:00,12.0,9.0,0.0,14.0,273.0,44.25,143.0,0.0,0.0,470.75,966.0,0.0,135.0,795.75,966.0,930.75,35.25
2026-01-01 15:00:00+00:00,12.0,9.0,0.0,14.0,65.5,71.75,143.0,0.0,0.0,470.75,786.0,0.0,0.0,856.75,786.0,856.75,-70.75
2026-01-01 16:00:00+00:00,12.0,9.0,0.0,14.0,1.0,63.0,146.75,2.0,0.0,470.5,718.25,211.25,0.0,960.5,929.5,960.5,-31.0
2026-01-01 17:00:00+00:00,12.0,9.0,0.0,14.0,0.0,57.5,181.25,2.0,0.0,470.25,746.0,95.0,0.0,1007.25,841.0,1007.25,-166.25
2026-01-01 18:00:00+00:00,12.0,9.0,0.0,14.0,0.0,97.25,178.25,0.0,0.0,470.5,781.0,72.75,0.0,1033.75,853.75,1033.75,-180.0
2026-01-01 19:00:00+00:00,12.0,9.0,0.0,14.0,0.0,143.5,148.5,0.0,0.0,470.25,797.25,62.0,0.0,1038.75,859.25,1038.75,-179.5
2026-01-01 20:00:00+00:00,12.0,9.0,0.0,14.0,0.0,180.5,138.0,0.0,0.0,471.0,824.5,54.0,0.0,990.0,878.5,990.0,-111.5
2026-01-01 21:00:00+00:00,12.0,9.0,0.0,14.0,0.0,231.5,137.75,0.0,0.0,470.0,874.25,0.0,0.0,915.25,874.25,915.25,-41.0
2026-01-01 22:00:00+00:00,12.0,9.0,0.0,13.75,0.0,271.25,134.0,0.0,0.0,470.25,910.25,0.0,0.0,830.0,910.25,830.0,80.25
2026-01-01 23:00:00+00:00,12.0,9.0,0.0,13.75,0.0,321.0,130.0,0.0,0.0,470.5,956.25,102.5,0.0,742.75,1058.75,742.75,316.0
2026-01-02 00:00:00+00:00,12.0,9.0,0.0,14.75,0.0,372.0,126.5,0.0,0.0,470.5,1004.75,99.75,0.0,694.75,1104.5,694.75,409.75
2026-01-02 01:00:00+00:00,12.0,9.0,0.0,15.0,0.0,371.25,116.25,0.0,0.0,470.75,994.25,88.0,0.0,668.25,1082.25,668.25,414.0
2026-01-02 02:00:00+00:00,12.0,9.0,0.0,15.0,0.0,346.25,133.0,0.0,0.0,470.5,985.75,0.0,268.25,651.75,985.75,920.0,65.75
2026-01-02 03:00:00+00:00,12.0,9.0,0.0,15.0,0.0,288.75,131.75,0.0,0.0,470.25,926.75,0.0,498.0,665.5,926.75,1163.5,-236.75
2026-01-02 04:00:00+00:00,12.0,9.0,0.0,15.0,0.0,253.5,143.25,0.0,0.0,470.0,902.75,0.0,209.25,702.5,902.75,911.75,-9.0
2026-01-02 05:00:00+00:00,12.0,9.0,0.0,15.0,0.0,265.5,135.0,0.0,0.0,470.5,907.0,0.0,81.0,779.25,907.0,860.25,46.75
2026-01-02 06:00:00+00:00,12.0,9.25,0.0,15.0,2.0,315.25,122.25,0.0,0.0,471.0,946.75,331.75,0.0,867.5,1278.5,867.5,411.0
2026-01-02 07:00:00+00:00,12.0,9.25,0.0,15.0,66.25,350.5,122.75,5.0,0.0,470.0,1050.75,588.5,0.0,947.25,1639.25,947.25,692.0
2026-01-02 08:00:00+00:00,12.0,9.25,0.0,15.0,244.75,351.25,122.0,0.0,0.0,470.75,1225.0,293.5,0.0,964.25,1518.5,964.25,554.25
2026-01-02 09:00:00+00:00,12.0,9.0,0.0,15.0,417.0,336.25,123.0,0.0,0.0,470.25,1382.5,0.0,0.0,932.5,1382.5,932.5,450.0
2026-01-02 10:00:00+00:00,11.25,9.0,0.0,15.0,472.0,362.0,122.25,0.0,0.0,469.75,1461.25,0.0,138.0,941.75,1461.25,1079.75,381.5
2026-01-02 11:00:00+00:00,10.5,9.25,0.0,15.0,386.0,473.5,122.75,0.0,0.0,470.25,1487.25,0.0,554.25,940.25,1487.25,1494.5,-7.25
2026-01-02 12:00:00+00:00,11.25,9.0,0.0,15.0,396.25,534.25,122.5,0.0,0.0,470.75,1559.0,0.0,558.75,950.25,1559.0,1509.0,50.0
2026-01-02 13:00:00+00:00,12.5,9.25,0.0,15.0,339.75,592.5,131.0,0.0,0.0,470.75,1570.75,0.0,597.5,928.0,1570.75,1525.5,45.25
2026-01-02 14:00:00+00:00,13.25,9.0,0.0,15.0,184.25,591.5,142.5,0.0,0.0,470.5,1426.0,0.0,388.0,920.75,1426.0,1308.75,117.25
2026-01-02 15:00:00+00:00,15.25,9.0,0.0,15.0,33.5,556.0,143.0,0.0,0.0,470.75,1242.5,0.0,188.5,996.0,1242.5,1184.5,58.0
2026-01-02 16:00:00+00:00,17.5,9.25,2.5,15.0,0.75,487.75,142.75,27.75,0.0,470.25,1173.5,0.0,4.25,1094.25,1173.5,1098.5,75.0
2026-01-02 17:00:00+00:00,20.0,9.5,14.0,15.0,0.0,470.75,142.75,2.0,0.0,470.25,1144.25,536.75,0.0,1133.25,1681.0,1133.25,547.75
2026-01-02 18:00:00+00:00,22.0,9.0,10.0,15.0,0.0,519.0,143.0,0.0,0.0,470.5,1188.5,506.0,0.0,1146.5,1694.5,1146.5,548.0
2026-01-02 19:00:00+00:00,23.25,9.0,0.0,15.0,0.0,522.5,143.0,0.0,0.0,470.75,1183.5,498.0,0.0,1115.0,1681.5,1115.0,566.5
2026-01-02 20:00:00+00:00,24.75,9.0,0.0,15.0,0.0,542.5,143.0,0.0,0.0,471.0,1205.25,126.75,0.0,1018.75,1332.0,1018.75,313.25
2026-01-02 21:00:00+00:00,25.75,9.0,0.0,15.0,0.0,531.5,142.5,0.0,0.0,470.5,1194.25,0.0,80.0,946.25,1194.25,1026.25,168.0
2026-01-02 22:00:00+00:00,27.0,9.0,0.0,15.0,0.0,546.0,142.0,0.0,0.0,470.75,1209.75,0.0,174.0,844.0,1209.75,1018.0,191.75
2026-01-02 23:00:00+00:00,28.75,9.0,0.0,15.0,0.0,499.0,51.5,0.0,0.0,470.25,1073.5,0.0,198.0,762.5,1073.5,960.5,113.0
2026-01-03 00:00:00+00:00,28.0,9.0,0.0,15.0,0.0,468.0,0.0,0.0,0.0,470.5,990.5,0.0,229.0,721.0,990.5,950.0,40.5
2026-01-03 01:00:00+00:00,28.5,9.0,0.0,15.0,0.0,483.5,0.0,0.0,0.0,470.75,1006.75,0.0,318.5,683.25,1006.75,1001.75,5.0
2026-01-03 02:00:00+00:00,28.25,9.0,0.0,15.0,0.0,465.5,0.0,0.0,0.0,470.5,988.25,0.0,212.5,673.0,988.25,885.5,102.75
2026-01-03 03:00:00+00:00,28.5,9.0,0.0,15.0,0.0,454.25,0.0,0.0,0.0,471.25,978.0,0.0,255.0,668.5,978.0,923.5,54.5
2026-01-03 04:00:00+00:00,28.75,9.0,0.0,15.0,0.0,453.0,0.0,0.0,0.0,470.25,976.0,0.0,163.25,697.25,976.0,860.5,115.5
2026-01-03 05:00:00+00:00,28.75,9.0,0.0,15.0,0.0,416.5,0.0,0.0,0.0,470.0,939.25,0.0,50.5,759.75,939.25,810.25,129.0
2026-01-03 06:00:00+00:00,28.5,9.25,0.0,15.0,1.25,379.75,0.0,0.0,0.0,471.5,905.25,169.0,0.0,852.0,1074.25,852.0,222.25
2026-01-03 07:00:00+00:00,28.5,9.0,0.0,14.25,41.0,365.5,0.0,5.0,0.0,469.75,933.0,613.25,0.0,933.75,1546.25,933.75,612.5
2026-01-03 08:00:00+00:00,29.0,9.25,0.0,15.0,175.0,322.75,0.0,0.0,0.0,470.5,1021.5,538.25,0.0,988.75,1559.75,988.75,571.0
2026-01-03 09:00:00+00:00,28.25,9.0,0.0,15.0,337.5,337.75,0.0,0.0,0.0,470.25,1197.75,244.25,0.0,967.25,1442.0,967.25,474.75
2026-01-03 10:00:00+00:00,28.25,9.0,0.0,15.0,425.5,344.5,0.0,0.0,0.0,470.75,1293.0,164.75,0.0,942.25,1457.75,942.25,515.5
2026-01-03 11:00:00+00:00,29.0,9.0,0.0,15.0,456.25,327.0,0.0,0.0,0.0,470.75,1307.0,44.25,0.0,919.75,1351.25,919.75,431.5
2026-01-03 12:00:00+00:00,29.0,9.0,0.0,15.0,453.25,312.5,0.0,0.0,0.0,470.25,1289.0,0.0,39.0,882.5,1289.0,921.5,367.5
2026-01-03 13:00:00+00:00,29.0,9.0,0.0,14.75,414.75,308.5,0.0,0.0,0.0,470.75,1246.75,134.25,0.0,875.25,1381.0,875.25,505.75
2026-01-03 14:00:00+00:00,29.25,9.0,0.0,14.0,242.5,239.5,0.0,0.0,0.0,472.75,1007.0,171.75,0.0,838.25,1178.75,838.25,340.5
2026-01-03 15:00:00+00:00,28.75,9.0,0.0,14.5,42.25,205.75,0.0,1.75,0.0,444.0,746.0,117.25,0.0,902.25,863.25,902.25,-39.0
2026-01-03 16:00:00+00:00,28.75,9.0,0.0,15.0,0.75,198.0,0.0,3.25,0.0,436.5,691.25,333.75,0.0,991.0,1025.0,991.0,34.0
2026-01-03 17:00:00+00:00,28.75,9.25,0.0,15.0,0.0,160.5,0.0,0.5,0.0,433.75,647.75,316.25,0.0,982.25,964.0,982.25,-18.25
2026-01-03 18:00:00+00:00,29.0,9.25,0.0,15.0,0.0,126.5,0.0,0.0,0.0,460.5,640.25,310.0,0.0,1013.5,950.25,1013.5,-63.25
2026-01-03 19:00:00+00:00,28.75,9.0,0.0,15.0,0.0,119.5,0.0,0.0,0.0,470.75,643.0,190.5,0.0,1037.5,833.5,1037.5,-204.0
2026-01-03 20:00:00+00:00,28.25,9.0,0.0,15.0,0.0,165.0,0.0,0.0,0.0,470.25,687.5,117.0,0.0,975.75,804.5,975.75,-171.25
2026-01-03 21:00:00+00:00,28.25,9.0,0.0,15.0,0.0,196.0,0.0,0.0,0.0,472.0,720.25,3.0,0.0,899.25,723.25,899.25,-176.0
2026-01-03 22:00:00+00:00,28.5,9.0,0.0,14.0,0.0,175.75,0.0,0.0,0.0,470.25,697.5,0.0,2.25,815.5,697.5,817.75,-120.25
2026-01-03 23:00:00+00:00,28.0,9.0,0.0,14.0,0.0,149.25,0.0,0.0,0.0,472.5,672.75,0.0,29.75,744.5,672.75,774.25,-101.5
2026-01-04 00:00:00+00:00,28.0,9.0,0.0,14.0,0.0,155.0,0.0,0.0,0.0,471.5,677.5,0.0,9.25,693.25,677.5,702.5,-25.0
2026-01-04 01:00:00+00:00,28.0,9.0,0.0,15.0,0.0,206.75,0.0,0.0,0.0,469.75,728.5,0.0,473.0,671.5,728.5,1144.5,-416.0
2026-01-04 02:00:00+00:00,28.0,9.0,0.0,15.0,0.0,161.5,0.0,0.0,0.0,470.0,683.5,0.0,566.75,659.0,683.5,1225.75,-542.25
2026-01-04 03:00:00+00:00,28.0,9.0,0.0,15.0,0.0,120.5,0.0,0.0,0.0,470.5,643.0,0.0,571.5,659.0,643.0,1230.5,-587.5
2026-01-04 04:00:00+00:00,28.0,9.0,0.0,15.0,0.0,67.75,0.0,0.0,0.0,471.25,591.0,0.0,220.75,669.75,591.0,890.5,-299.5
2026-01-04 05:00:00+00:00,28.0,9.0,0.0,14.0,0.0,61.25,0.0,0.0,0.0,470.25,582.5,0.0,31.25,708.5,582.5,739.75,-157.25
2026-01-04 06:00:00+00:00,28.0,9.0,0.0,14.0,1.0,69.0,0.0,0.0,0.0,470.5,591.5,0.0,2.0,766.0,591.5,768.0,-176.5
2026-01-04 07:00:00+00:00,28.0,9.0,0.0,14.75,17.25,86.5,0.0,5.0,0.0,470.25,630.75,1.5,0.0,828.0,632.25,828.0,-195.75
2026-01-04 08:00:00+00:00,28.25,9.0,0.0,15.0,43.5,108.5,0.0,0.0,0.0,470.75,675.0,45.75,0.0,898.75,720.75,898.75,-178.0
2026-01-04 09:00:00+00:00,28.75,9.0,0.0,14.25,100.5,93.75,0.0,0.0,0.0,469.75,716.0,0.0,2.0,944.25,716.0,946.25,-230.25
2026-01-04 10:00:00+00:00,28.5,9.0,0.0,14.0,175.25,58.75,0.0,0.0,0.0,470.25,755.75,13.5,0.0,966.25,769.25,966.25,-197.0
2026-01-04 11:00:00+00:00,28.0,9.0,0.0,14.0,232.5,42.5,0.0,0.0,0.0,470.5,796.5,63.75,0.0,1005.75,860.25,1005.75,-145.5
2026-01-04 12:00:00+00:00,28.0,9.0,0.0,14.75,251.0,45.25,0.0,0.0,0.0,470.5,818.5,0.0,71.25,968.0,818.5,1039.25,-220.75
2026-01-04 13:00:00+00:00,28.0,9.0,0.0,15.0,188.25,45.75,0.0,0.0,0.0,470.25,756.25,0.0,8.5,918.0,756.25,926.5,-170.25
2026-01-04 14:00:00+00:00,28.0,9.0,0.0,15.0,108.25,52.0,0.0,0.0,0.0,470.0,682.25,0.0,2.0,881.25,682.25,883.25,-201.0
2026-01-04 15:00:00+00:00,28.0,9.0,0.0,14.25,35.75,54.25,0.0,2.75,0.0,470.0,614.0,10.0,0.0,915.0,624.0,915.0,-291.0
2026-01-04 16:00:00+00:00,28.0,9.25,0.0,15.0,1.0,54.25,0.0,2.75,0.0,470.5,580.75,319.5,0.0,998.75,900.25,998.75,-98.5
2026-01-04 17:00:00+00:00,28.0,9.0,0.0,15.0,0.0,37.75,0.0,0.0,0.0,470.25,560.0,448.75,0.0,1036.5,1008.75,1036.5,-27.75
2026-01-04 18:00:00+00:00,28.0,9.25,0.0,15.0,0.0,23.5,0.0,0.0,0.0,470.25,546.0,490.25,0.0,1059.25,1036.25,1059.25,-23.0
2026-01-04 19:00:00+00:00,28.0,9.0,0.0,15.0,0.0,25.5,0.0,0.0,0.0,470.5,548.0,85.25,0.0,1052.25,633.25,1052.25,-419.0
2026-01-04 20:00:00+00:00,28.0,9.0,0.0,15.0,0.0,28.0,0.0,0.0,0.0,471.0,551.0,0.0,2.0,993.5,551.0,995.5,-444.5
2026-01-04 21:00:00+00:00,28.25,9.0,0.0,15.0,0.0,27.75,0.0,0.0,0.0,470.25,550.25,0.0,2.0,913.25,550.25,915.25,-365.0
2026-01-04 22:00:00+00:00,28.0,9.0,0.0,15.0,0.0,28.25,0.0,0.0,0.0,470.5,550.75,0.0,41.5,827.75,550.75,869.25,-318.5
2026-01-04 23:00:00+00:00,29.0,9.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,470.25,543.25,59.5,0.0,754.5,602.75,754.5,-151.75
2026-01-05 00:00:00+00:00,28.0,9.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,469.0,534.0,0.0,337.75,708.0,534.0,1045.75,-511.75
2026-01-05 01:00:00+00:00,28.0,9.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,469.75,529.75,0.0,370.5,683.5,529.75,1054.0,-524.25
2026-01-05 02:00:00+00:00,28.0,9.0,0.0,15.0,0.0,11.5,0.0,0.0,0.0,469.75,533.25,0.0,560.75,678.75,533.25,1239.5,-706.25
2026-01-05 03:00:00+00:00,28.0,9.0,0.0,15.0,0.0,6.75,0.0,0.0,0.0,470.5,529.25,0.0,438.25,684.25,529.25,1122.5,-593.25
2026-01-05 04:00:00+00:00,28.0,9.0,0.0,15.0,0.0,7.5,0.0,0.0,0.0,470.5,530.0,0.0,25.75,708.5,530.0,734.25,-204.25
2026-01-05 05:00:00+00:00,28.25,9.0,0.0,15.0,0.0,13.25,0.0,0.0,0.0,470.5,536.0,0.0,107.0,791.5,536.0,898.5,-362.5
2026-01-05 06:00:00+00:00,29.0,9.0,0.0,15.0,2.0,15.75,0.0,0.0,0.0,470.5,541.25,1.0,0.0,893.5,542.25,893.5,-351.25
2026-01-05 07:00:00+00:00,29.0,9.0,1.75,14.25,55.75,13.75,0.0,33.5,0.0,470.25,627.25,339.0,0.0,975.0,966.25,975.0,-8.75
2026-01-05 08:00:00+00:00,29.0,9.0,2.0,15.0,247.75,10.25,0.0,38.75,0.0,471.0,822.75,492.75,0.0,986.25,1315.5,986.25,329.25
2026-01-05 09:00:00+00:00,28.75,9.0,0.5,15.0,470.25,10.5,0.0,9.75,0.0,470.5,1014.25,220.25,0.0,937.5,1234.5,937.5,297.0
2026-01-05 10:00:00+00:00,28.0,9.0,0.0,15.0,507.0,13.0,13.0,0.0,0.0,470.5,1055.5,53.25,0.0,927.75,1108.75,927.75,181.0
2026-01-05 11:00:00+00:00,28.0,9.0,0.0,15.0,448.0,28.5,39.75,0.0,0.0,471.5,1039.75,0.0,59.5,933.25,1039.75,992.75,47.0
2026-01-05 12:00:00+00:00,28.0,9.0,0.0,15.0,363.5,62.0,39.75,0.0,0.0,470.25,987.5,0.0,293.0,951.5,987.5,1244.5,-257.0
2026-01-05 13:00:00+00:00,27.75,9.0,0.0,14.75,241.75,70.5,69.5,0.0,0.0,470.0,903.25,0.0,131.0,945.75,903.25,1076.75,-173.5
2026-01-05 14:00:00+00:00,28.0,9.0,0.0,14.0,139.5,72.25,134.0,0.0,0.0,470.25,867.0,0.0,61.0,942.25,867.0,1003.25,-136.25
2026-01-05 15:00:00+00:00,27.5,9.0,1.0,14.5,30.0,64.0,178.25,19.0,0.0,470.25,813.5,0.0,94.25,987.5,813.5,1081.75,-268.25
2026-01-05 16:00:00+00:00,28.0,9.0,2.0,15.0,0.75,59.0,186.75,41.0,0.0,469.75,811.25,324.0,0.0,1068.5,1135.25,1068.5,66.75
2026-01-05 17:00:00+00:00,28.0,9.0,2.0,15.0,0.0,47.0,180.25,38.5,0.0,470.75,790.5,585.75,0.0,1099.25,1376.25,1099.25,277.0
2026-01-05 18:00:00+00:00,28.0,9.0,2.0,15.0,0.0,46.0,180.75,38.5,0.0,469.5,788.75,495.5,0.0,1117.5,1284.25,1117.5,166.75
2026-01-05 19:00:00+00:00,28.0,9.0,2.0,15.0,0.0,38.25,179.5,39.0,0.0,470.5,781.25,35.5,0.0,1096.25,816.75,1096.25,-279.5
2026-01-05 20:00:00+00:00,28.0,9.0,0.5,15.0,0.0,40.75,179.0,10.0,0.0,470.5,752.75,0.0,2.0,1016.0,752.75,1018.0,-265.25
2026-01-05 21:00:00+00:00,28.0,9.0,0.0,15.0,0.0,45.75,176.25,0.0,0.0,470.5,744.5,0.0,20.5,932.75,744.5,953.25,-208.75
2026-01-05 22:00:00+00:00,28.0,9.0,0.0,14.0,0.0,59.5,175.75,0.0,0.0,469.5,755.75,0.0,15.75,842.75,755.75,858.5,-102.75
2026-01-05 23:00:00+00:00,28.0,9.0,0.0,15.0,0.0,63.75,200.0,0.0,0.0,470.25,786.0,0.0,410.0,780.75,786.0,1190.75,-404.75
2026-01-06 00:00:00+00:00,28.0,9.0,0.0,15.0,0.0,78.0,213.75,0.0,0.0,470.5,814.25,69.75,0.0,719.75,884.0,719.75,164.25
2026-01-06 01:00:00+00:00,28.0,9.0,0.0,15.0,0.0,97.0,212.0,0.0,0.0,470.0,831.0,0.0,469.25,694.5,831.0,1163.75,-332.75
2026-01-06 02:00:00+00:00,28.0,9.0,0.0,15.0,0.0,100.0,212.0,0.0,0.0,470.5,834.5,0.0,583.5,690.75,834.5,1274.25,-439.75
2026-01-06 03:00:00+00:00,28.0,9.0,0.0,15.0,0.0,157.25,214.75,0.0,0.0,470.0,894.0,0.0,518.75,683.25,894.0,1202.0,-308.0
2026-01-06 04:00:00+00:00,28.0,9.0,0.0,15.0,0.0,253.5,197.0,0.0,0.0,470.75,973.25,0.0,316.0,710.75,973.25,1026.75,-53.5
2026-01-06 05:00:00+00:00,28.25,9.0,0.0,15.0,0.0,309.75,172.0,0.0,0.0,470.5,1004.5,0.0,133.75,756.5,1004.5,890.25,114.25
2026-01-06 06:00:00+00:00,28.0,9.0,0.0,14.75,1.0,286.75,170.25,0.0,0.0,470.5,980.25,0.0,132.25,828.25,980.25,960.5,19.75
2026-01-06 07:00:00+00:00,28.75,9.0,0.0,14.0,14.25,227.25,172.5,5.0,0.0,470.5,941.25,0.0,12.5,899.25,941.25,911.75,29.5
2026-01-06 08:00:00+00:00,28.75,9.0,0.0,15.0,107.5,150.5,211.0,0.0,0.0,470.5,992.25,0.25,0.0,963.5,992.5,963.5,29.0
2026-01-06 09:00:00+00:00,28.0,9.0,0.0,15.0,270.75,156.0,220.0,0.0,0.0,466.25,1165.0,185.75,0.0,976.0,1350.75,976.0,374.75
2026-01-06 10:00:00+00:00,25.25,9.0,0.0,14.25,219.75,187.0,257.25,0.0,0.0,469.75,1182.25,137.5,0.0,994.75,1319.75,994.75,325.0
2026-01-06 11:00:00+00:00,24.0,9.0,0.0,14.5,277.5,274.75,267.0,0.0,0.0,471.0,1337.75,71.0,0.0,1031.0,1408.75,1031.0,377.75
2026-01-06 12:00:00+00:00,24.25,9.0,0.0,15.0,307.5,290.5,267.0,0.0,0.0,470.25,1383.5,0.0,34.0,982.75,1383.5,1016.75,366.75
2026-01-06 13:00:00+00:00,24.0,9.0,0.0,15.0,183.75,322.0,267.0,0.0,0.0,470.25,1291.0,0.0,3.75,940.5,1291.0,944.25,346.75
2026-01-06 14:00:00+00:00,24.0,9.0,0.0,15.0,135.0,270.5,267.0,0.0,0.0,470.75,1191.25,60.75,0.0,921.25,1252.0,921.25,330.75
2026-01-06 15:00:00+00:00,21.5,9.0,0.0,15.0,22.25,283.0,267.0,3.0,0.0,470.25,1091.0,203.25,0.0,935.5,1294.25,935.5,358.75
2026-01-06 16:00:00+00:00,23.5,9.0,1.0,15.0,1.0,291.0,228.75,21.5,0.0,470.0,1060.75,504.0,0.0,1026.25,1564.75,1026.25,538.5
2026-01-06 17:00:00+00:00,24.0,9.0,2.0,14.5,0.0,258.75,214.0,40.75,0.0,470.75,1033.75,594.5,0.0,1075.25,1628.25,1075.25,553.0
2026-01-06 18:00:00+00:00,24.0,9.0,2.0,14.0,0.0,291.25,214.25,39.0,0.0,470.5,1064.0,279.25,0.0,1106.5,1343.25,1106.5,236.75
2026-01-06 19:00:00+00:00,24.0,9.0,0.5,14.0,0.0,269.75,212.25,10.0,0.0,470.25,1009.75,0.0,1.25,1106.75,1009.75,1108.0,-98.25
2026-01-06 20:00:00+00:00,24.25,9.0,0.0,15.0,0.0,199.5,212.0,0.0,0.0,470.5,930.25,0.0,2.0,1041.0,930.25,1043.0,-112.75
2026-01-06 21:00:00+00:00,24.0,9.0,0.0,15.0,0.0,125.75,213.25,0.0,0.0,470.5,857.5,0.0,2.0,960.0,857.5,962.0,-104.5
2026-01-06 22:00:00+00:00,24.5,9.0,0.0,15.0,0.0,188.25,213.0,0.0,0.0,470.25,920.0,0.0,12.25,856.25,920.0,868.5,51.5
2026-01-06 23:00:00+00:00,25.0,9.0,0.0,15.0,0.0,222.0,213.75,0.0,0.0,470.5,955.25,0.0,284.25,767.0,955.25,1051.25,-96.0
2026-01-07 00:00:00+00:00,25.0,9.0,0.0,15.0,0.0,345.75,214.25,0.0,0.0,470.0,1079.0,0.0,346.5,696.25,1079.0,1042.75,36.25
2026-01-07 01:00:00+00:00,24.5,9.0,0.0,15.0,0.0,568.75,211.75,0.0,0.0,470.5,1299.5,0.0,581.0,665.0,1299.5,1246.0,53.5
2026-01-07 02:00:00+00:00,24.0,9.0,0.0,15.0,0.0,596.5,167.25,0.0,0.0,470.5,1282.25,0.0,670.0,672.75,1282.25,1342.75,-60.5
2026-01-07 03:00:00+00:00,24.0,9.0,0.0,15.0,0.0,585.25,183.75,0.0,0.0,470.0,1287.0,0.0,495.0,690.75,1287.0,1185.75,101.25
2026-01-07 04:00:00+00:00,24.75,9.0,0.0,14.0,0.0,463.0,215.75,0.0,0.0,470.5,1197.0,0.0,48.0,734.25,1197.0,782.25,414.75
2026-01-07 05:00:00+00:00,24.25,9.0,0.0,14.75,0.0,411.0,213.5,0.0,0.0,469.5,1142.0,60.5,0.0,841.25,1202.5,841.25,361.25
2026-01-07 06:00:00+00:00,24.0,9.0,0.0,15.0,1.5,523.25,239.0,2.0,0.0,469.5,1283.25,90.0,0.0,1021.0,1373.25,1021.0,352.25
2026-01-07 07:00:00+00:00,24.75,9.5,2.25,14.75,64.0,559.75,267.0,40.5,0.0,470.75,1453.25,486.75,0.0,1125.25,1940.0,1125.25,814.75
2026-01-07 08:00:00+00:00,25.0,9.25,2.0,13.75,247.75,525.25,244.0,39.0,0.0,469.5,1575.5,448.75,0.0,1146.5,2024.25,1146.5,877.75
2026-01-07 09:00:00+00:00,25.0,9.0,1.0,13.0,403.25,568.5,228.75,23.75,0.0,469.75,1742.0,151.0,0.0,1132.0,1893.0,1132.0,761.0
2026-01-07 10:00:00+00:00,25.0,9.0,0.0,13.5,264.0,640.25,219.25,8.0,0.0,470.25,1649.25,3.75,0.0,1165.75,1653.0,1165.75,487.25
2026-01-07 11:00:00+00:00,25.0,9.0,0.0,14.5,404.5,657.5,262.75,7.0,0.0,469.5,1849.75,0.0,158.75,1127.0,1849.75,1285.75,564.0
2026-01-07 12:00:00+00:00,25.0,9.0,0.0,15.0,506.0,631.25,255.75,7.0,0.0,469.75,1918.75,0.0,184.5,1131.5,1918.75,1316.0,602.75
2026-01-07 13:00:00+00:00,24.5,9.0,0.0,15.0,365.0,573.75,212.5,7.25,0.0,470.5,1677.5,23.0,0.0,1138.0,1700.5,1138.0,562.5
