,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Fossil Coal-derived gas,Other
2026-02-02 06:00:00+00:00,109.31802477010578,745.490883963217,1.7413490671344285,28.82900122255887,71.00834529314837,41.98586084090788,0.0,0.0,0.0,0.0,2577.1966193589537,0.0,0.0,64.42991548397386
2026-02-02 07:00:00+00:00,593.2933367617293,546.339492716165,1.9067353643966545,39.796201272479436,87.45790014144352,47.29566506717549,0.0,86.88023777041512,0.0,40.70444357824986,2546.8264262246116,2.1644903527577473,79.60514519586825,66.47992555470799
2026-02-02 08:00:00+00:00,1429.1364550186208,358.1959247295449,1.3727100142382533,41.68476661457533,95.2360964295736,31.43423750293516,0.0,2.3162095564602527,13.740934777956552,17.73098350117849,2890.240934978643,1.1872165429772847,35.1957360188558,79.27779431444097
2026-02-02 09:00:00+00:00,2083.400852315583,248.30809781254308,0.5034193191532157,41.02867451098708,160.4268533520579,34.232513702418665,0.0,0.0,37.588865901824335,0.0,2453.91747121235,1.0068386383064314,0.0,86.33641323477649
2026-02-02 10:00:00+00:00,2418.902112327411,232.2736187289477,0.0,42.46396941525936,100.2722123465529,32.94174597062545,0.0,0.0,39.81846289006404,0.0,1864.296936025084,0.0,0.0,88.5309422960559
2026-02-02 11:00:00+00:00,2203.5851743272956,242.95193761660656,0.23850905664328342,38.16144906292534,97.04395074266853,30.052141137053713,0.0,0.0,38.32931319030088,0.0,1959.8289184378598,0.0,0.0,81.80860642864621
2026-02-02 12:00:00+00:00,1918.6111970966535,286.1644620758462,1.20003202220206,38.16101830602551,51.142139576040705,30.72081976837274,0.0,0.0,20.781032441084232,0.0,2140.137108395154,0.0,0.0,82.0821903186209
2026-02-02 13:00:00+00:00,1787.531198825456,367.8490359676008,2.1154215370715455,42.04400304929697,20.704893884008946,33.84674459314473,0.0,0.0,7.26498990670522,0.0,2357.6373030662376,0.0,0.0,91.75640917047829
2026-02-02 14:00:00+00:00,1063.1471488710295,383.14207807118254,3.933696900114811,40.91044776119403,8.129640260237275,46.155376961347116,0.0,0.0,0.0,0.0,3161.3810753922694,0.0,0.0,89.95053578262534
2026-02-02 15:00:00+00:00,233.26026250076129,378.79487179487177,2.924188440221694,36.21494914428406,14.396004628783725,50.38601620074304,0.0,0.0,0.0,0.0,2900.3450575552715,0.0,0.0,76.92864973506303
2026-02-02 16:00:00+00:00,7.548447830247914,441.70902891704026,2.226668264046963,26.937259507311232,73.35085706240164,87.245242664065,115.46521145975443,124.32394749036348,0.0,59.065939278937385,1989.8557767035595,1.9909867172675522,73.2240670461733,66.05656705883133
2026-02-02 17:00:00+00:00,0.04585798816568047,538.6420037744385,1.2899027459954233,25.11535939636846,83.08164672062081,127.8008875118753,208.74315235999023,118.66574993379554,0.0,48.976331360946745,1993.4961609096067,1.650887573964497,60.76183431952663,74.2302254047054
2026-02-02 18:00:00+00:00,0.0,552.3945885747244,0.6372576409454098,22.459086891374387,86.65299658048478,153.99996553190934,272.869458731325,41.47582927257291,0.0,21.034252161148263,2091.2345395662232,0.7090197357690425,26.115560267493066,81.16744504602983
