,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-02-04 01:00:00+00:00,0.0,543.6908393678879,97.40177335640139,34.27835051546392,40.71903114186851,0.0,10.395189003436426,30.15463917525773,0.0,1042.8988020071583,0.0,1.6195069204152248,36.09186851211073
2026-02-04 02:00:00+00:00,0.0,571.3480601721162,99.23353293413173,38.659793814432994,41.5835757057314,0.0,10.05986032590622,29.348187562354504,0.0,1052.0186575777136,0.0,1.8901625320786999,36.858169375534644
2026-02-04 03:00:00+00:00,0.0,594.3515055672037,94.74829195134144,39.81691542288557,39.894017663722714,0.0,9.792371475953566,29.296185737976785,0.0,1003.1767411760837,0.0,1.8133644392601234,35.360606565572404
2026-02-04 04:00:00+00:00,0.0,562.1671218665311,84.75911458333333,72.40853658536585,35.2662037037037,0.0,10.746951219512194,27.286585365853657,0.0,1059.5037968608854,0.0,1.603009259259259,31.258680555555554
2026-02-04 05:00:00+00:00,1.7737485218762319,480.77739124622104,66.41852202747513,97.29339114439627,27.858005684509713,0.0,16.949152542372882,24.241229798975166,0.0,1087.8766215637804,0.0,1.2591189009947892,24.55281856939839
2026-02-04 06:00:00+00:00,28.552880581633726,491.70944229810846,61.95442610652663,84.87673249110757,30.302164826921015,0.0,25.880044155525574,22.323071262112105,0.0,1130.1495235636721,0.0,0.6000428678598221,23.40167184653306
2026-02-04 07:00:00+00:00,87.83790622113466,529.5000717858734,59.6105090983439,79.01056676272815,29.092210181966877,0.0,27.257444764649378,21.793948126801155,0.0,1037.509487814176,0.0,1.140870987528113,22.246984256798203
2026-02-04 08:00:00+00:00,145.33736137432092,494.24995439394957,56.54520576781391,71.86932849364791,25.531891379854752,0.0,27.04174228675136,20.44767090139141,0.0,1004.9546898396978,0.0,2.0194716345647827,22.502683928007578
2026-02-04 09:00:00+00:00,178.2129717281152,500.0932845402049,64.27099714081486,62.716476991588316,32.0537288539433,0.0,7.731321128154379,21.523998020781793,0.0,974.9111899070954,0.0,5.560340719561592,25.675690969740288
2026-02-04 10:00:00+00:00,209.08607187334508,491.3226014795522,70.9026351813826,53.521298669596,39.49007529089665,0.0,7.384352496033199,21.54278042231173,0.0,882.8181175095383,0.0,6.462012320328543,28.720054757015742
2026-02-04 11:00:00+00:00,192.65763781420128,533.0003462713673,70.63645405118685,61.12011974554073,36.824691685452855,0.0,8.357240863165773,22.140451540476487,0.0,805.3751452849407,0.0,5.356318790611325,26.78159395305662
2026-02-04 12:00:00+00:00,177.87850394193467,463.25943529419317,74.85337150127226,69.16771752837326,36.98218829516539,0.0,10.655737704918032,22.131147540983605,0.0,868.5066946308185,0.0,5.86736641221374,28.447837150127228
2026-02-04 13:00:00+00:00,174.16011428432108,415.4037005838592,94.18656478828399,83.19552219819361,47.31232091690544,0.0,16.85536191324259,22.325403892634526,0.0,980.0675380064501,0.0,7.447309773957338,35.04616364215218
2026-02-04 14:00:00+00:00,76.5442944693332,374.97834790404136,83.93888367100496,92.08561473369836,43.43009526365222,0.0,18.66600298656048,21.83922349427576,0.0,1202.8195635072204,0.0,6.426875083858849,30.771098886354487
2026-02-04 15:00:00+00:00,10.044913958184729,541.2571996195754,66.3867014089944,82.01404594691108,34.106929164254005,0.0,21.068920366623022,21.42602071182002,0.0,1273.7333888776807,0.0,3.958839992279483,23.753039953676897
2026-02-04 16:00:00+00:00,0.0,555.1598427793074,69.2879992930364,77.98444193912063,39.61764316012725,0.0,21.952423900789174,20.548816234498307,0.0,1621.4413874827992,0.0,6.002673206079887,26.754772004241783
2026-02-04 17:00:00+00:00,0.0,607.5961909009997,60.14401908023483,70.63291139240506,33.85885518590998,0.0,21.169220519653564,19.258827448367754,0.0,1444.928751565058,0.0,5.494638780169602,23.166585127201564
2026-02-04 18:00:00+00:00,0.0,557.350954425172,52.096545866364664,76.27875809693991,30.28272124251739,0.0,22.89479562206835,20.493634129997766,0.0,1303.3706499924456,0.0,3.4645486167286847,20.017392007765736
2026-02-04 19:00:00+00:00,0.0,425.86109615415637,37.124339806614124,88.97067414417573,19.450109693670267,0.0,16.590723215328897,21.205748335085875,0.0,915.7335238130717,0.0,2.621536523929471,13.192248313967662
2026-02-04 20:00:00+00:00,0.0,371.81044095382856,32.24150743099788,72.17881388497501,17.116772823779193,0.0,14.410144741898296,22.479825797361343,0.0,824.1255516920005,0.0,2.582271762208068,11.804670912951169
2026-02-04 21:00:00+00:00,0.0,414.30560270863816,43.19600960650286,42.30235783633842,23.144282283391835,0.0,10.055478502080444,24.271844660194173,0.0,1003.1714962668851,0.0,3.5913541474228707,15.961573988546093
2026-02-04 22:00:00+00:00,0.0,423.65169704755795,45.073686862325225,24.087372830640334,26.24008061468699,0.0,9.201077199281867,26.40634350688211,0.0,764.6016137108891,0.0,3.8090439601964983,16.92908426753999
2026-02-04 23:00:00+00:00,0.0,374.812719979184,31.080281418658444,29.373996789727126,20.509830377794913,0.0,9.87158908507223,28.330658105939005,0.0,400.0463193862612,0.0,2.6031707787201235,12.621434078643023
2026-02-05 00:00:00+00:00,0.0,377.5683728937129,45.324607051826675,31.390134529147982,29.095847493627865,0.0,9.849455477258166,28.187059577194105,0.0,501.9620187291439,0.0,3.8253504672897196,18.54715378079864
2026-02-05 01:00:00+00:00,0.0,370.9244145922609,66.2784679089027,26.9702842377261,37.51293995859213,0.0,9.932170542635658,28.262273901808786,0.0,658.5666538270178,0.0,5.887681159420289,26.91511387163561
2026-02-05 02:00:00+00:00,0.0,345.4690846799413,72.86037394451145,30.402629416598195,25.05126658624849,0.0,10.106820049301561,29.005751848808544,0.0,684.4819383720574,0.0,5.821773220747889,28.050361881785285
2026-02-05 03:00:00+00:00,0.0,348.21699857126026,77.33474377056888,31.386861313868614,33.036201222378935,0.0,9.97566909975669,28.548256285482562,0.0,734.3371888716158,0.0,6.381993417959567,29.2820874471086
2026-02-05 04:00:00+00:00,0.0,321.1170601729153,74.33542595634827,46.7695997601559,33.63248063834781,0.0,13.641133263378805,26.38285114675461,0.0,762.2547511038736,0.0,6.3060901196902135,29.810607838535557
2026-02-05 05:00:00+00:00,0.7352941176470588,320.37442362173203,87.61179565738644,70.32085561497327,39.86449313973625,0.0,17.8475935828877,23.99732620320856,0.0,1587.2058242966102,0.0,7.657586252830691,35.13480751298788
2026-02-05 06:00:00+00:00,36.45708030061938,299.97925085463913,91.02512337371019,70.05579665220087,47.28577837595334,0.0,21.140731556106633,22.318660880347178,0.0,1975.5253752249066,0.0,7.329295648272768,36.882907133243606
2026-02-05 07:00:00+00:00,145.6280670071285,281.35442192533134,96.3086624626618,58.5946710681443,49.137072685031534,0.0,14.678141947653856,21.634048573449657,0.0,2007.963122096945,0.0,7.1248755393295715,38.326916694324595
2026-02-05 08:00:00+00:00,213.55066373532054,367.37687414794107,91.60368071902417,47.6275419193721,42.939225337042586,0.0,9.632536567962896,21.227256510881197,0.0,1890.694585710433,0.0,7.633640059918682,37.213995292103576
2026-02-05 09:00:00+00:00,212.26983730980868,433.53395645553076,87.88142529739167,51.485502923278844,40.38415366146458,0.0,9.306765302469872,21.417491946068488,0.0,1702.853793001619,0.0,7.57202881152461,35.79504529084361
2026-02-05 10:00:00+00:00,239.83349366116045,449.7105458949766,87.58693027467552,43.49827387802072,39.93600965891941,0.0,8.918296892980438,20.253164556962027,0.0,1070.1967291907563,0.0,8.168729248415334,35.39782674313311
2026-02-05 11:00:00+00:00,340.82523255494414,729.2116325281271,114.69796916691372,43.5761283619993,51.543284909576045,0.0,9.061526030243565,20.08542075493478,0.0,1047.12347216228,0.0,10.195375037058998,44.17995849392233
2026-02-05 12:00:00+00:00,377.502958787735,813.5184880648467,109.0767330130405,37.771482530689326,59.59862731640357,0.0,15.226628895184136,19.35788479697828,0.0,1061.6899556891512,0.0,10.401647220315716,43.85559368565546
2026-02-05 13:00:00+00:00,267.0215977817711,732.3719760207139,96.19442351168047,47.11538461538461,71.33257975383069,0.0,18.990384615384613,20.072115384615387,0.0,1052.5219854404575,0.0,8.13237879929666,36.24717407686511
2026-02-05 14:00:00+00:00,123.52776441884743,643.5524439022674,87.49342545130376,66.26315789473685,62.758134611098725,0.0,18.36842105263158,17.42105263157895,0.0,1208.8883323754003,0.0,6.337140628482282,31.890127033652774
2026-02-05 15:00:00+00:00,30.466020238175073,628.4025038187789,94.135335111417,55.89163384652106,83.18936591241504,0.0,13.930540637307555,11.55794247523571,0.0,1869.7698137719021,0.0,7.005420287361267,34.15142390088618
2026-02-05 16:00:00+00:00,0.7074450366422386,447.8368808478713,69.15275233177881,36.23787610619469,69.32961359093937,0.0,8.292743362831859,7.384778761061947,0.0,1622.2042707221735,0.0,6.013282811459027,27.5903564290473
2026-02-05 17:00:00+00:00,0.0,348.1818121385878,53.105332347383126,54.336011342155004,54.519760085449015,0.0,12.236767485822305,10.956521739130434,0.0,1259.3613546347037,0.0,4.243283214197683,20.059157012570864
