,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil
2026-02-23 02:00:00+00:00,0.0,207.4803155634824,8.510846316345392,209.2887305862875,213.6076940850277,26.537182971214122,178.36406126221283,151.76015659658742,0.0,293.1760126188426,0.0
2026-02-23 03:00:00+00:00,0.0,219.16818391012163,5.747580924355202,238.75767603880493,140.89920373896487,31.794919741115375,116.9549247014021,129.75706241535087,0.0,236.02044852988502,0.0
2026-02-23 04:00:00+00:00,0.0,172.97353077669254,2.8939628548462153,249.8943479887862,69.24664509032448,38.5492972824047,60.184617337225525,106.06123478600134,0.0,172.4963638837189,0.0
2026-02-23 05:00:00+00:00,29.66521855010661,130.0268312763284,0.0,334.4130460307247,0.0,42.87305437100213,0.0,133.97038388697672,0.0,163.0014658848614,0.0
2026-02-23 06:00:00+00:00,364.3447426358943,173.46159469024965,0.0,462.8116282454281,3.4012269390735486,58.64030898876403,0.0,184.9823611818406,0.0,215.13313731874968,0.0
2026-02-23 07:00:00+00:00,633.5496070726916,104.73886234564358,0.0,322.0469222680955,0.0,35.792681728880154,0.0,161.18987181550244,0.0,269.20705476918687,0.0
2026-02-23 08:00:00+00:00,621.9960391198043,57.44615978043985,0.0,260.0350903176498,0.0,23.05066014669926,0.0,142.09069956802676,0.0,236.83135106737984,0.0
2026-02-23 09:00:00+00:00,657.9149788314988,40.4455951439649,0.0,255.06191322075608,0.0,24.122252328535144,0.0,141.51576206556814,0.0,220.6644984096771,0.0
2026-02-23 10:00:00+00:00,642.5063362831859,32.72969436352275,0.0,217.34930323596325,0.0,23.66824778761062,0.0,123.63783870515263,0.0,197.3085796245649,0.0
2026-02-23 11:00:00+00:00,702.2022925764193,37.660989810771476,0.0,233.49242167171695,0.0,26.93198689956332,0.0,125.08040222555049,0.0,219.03190681597863,0.0
2026-02-23 12:00:00+00:00,537.5981946321683,29.079388929671797,0.0,213.5261501058759,0.0,23.047953272832597,0.0,118.45539017343046,0.0,198.74292288602092,0.0
2026-02-23 13:00:00+00:00,584.4426059596522,39.67627377418758,0.0,316.0341003961196,0.0,33.57579122709606,0.0,134.29557332778,0.0,257.37565531516475,0.0
2026-02-23 14:00:00+00:00,380.8152110750299,51.2104950501222,0.0,417.4692421945368,0.0,95.6385233293454,0.0,155.3211116567582,0.0,395.32041669420744,0.0
2026-02-23 15:00:00+00:00,133.6106205250597,73.66409415944005,0.0,393.88025433719855,6.464403529583828,81.0339737470167,0.0,144.94756278367686,0.0,515.9740909180244,0.0
2026-02-23 16:00:00+00:00,1.7564156945917284,62.27734540006723,0.0,361.3574680793621,23.178540046619517,61.554267834043095,0.0,144.8729057397647,0.0,493.15305720555153,0.0
2026-02-23 17:00:00+00:00,0.0,69.16925671145269,0.0,340.1917805736099,84.1381812373703,62.45882095495208,0.0,217.99069741371537,0.0,462.47626310889956,0.0
2026-02-23 18:00:00+00:00,0.0,94.33357792457139,0.0,422.5539347051075,82.41550150482469,69.83749075089814,0.0,248.04460921515803,0.0,557.6898858994401,0.0
2026-02-23 19:00:00+00:00,0.0,111.49328073122847,0.0,394.37501585706684,137.75630864730797,80.9469760890444,0.0,288.88731038301705,0.0,611.5911082923352,0.0
2026-02-23 20:00:00+00:00,0.0,133.74351851851853,0.0,443.3714989677602,0.0,82.81949588477367,0.0,142.4990207455014,0.0,777.6914658834462,0.0
2026-02-23 21:00:00+00:00,0.0,151.03330620097674,0.0,431.9397411502192,0.0,77.14375462483349,0.0,111.06056932430823,0.0,678.2726286996623,0.0
2026-02-23 22:00:00+00:00,0.0,149.74754016956717,0.0,409.3112717057154,0.0,68.37718331700947,0.0,108.76577629981563,0.0,591.4232285078924,0.0
2026-02-23 23:00:00+00:00,0.0,114.46929707833027,0.0,292.9430222154009,0.0,44.10132087628866,0.0,82.64638738493088,0.0,361.7149724450493,0.0
2026-02-24 00:00:00+00:00,0.0,109.80015742633286,0.0,280.5434773589584,0.0,34.59047034378542,0.0,91.14475211211142,0.0,327.69614275881196,0.0
2026-02-24 01:00:00+00:00,0.0,119.8219808729524,0.0,303.12338776162096,0.0,36.851620238772036,0.0,104.5090521596819,0.0,381.96895896697276,0.0
2026-02-24 02:00:00+00:00,0.0,129.7774213324708,0.0,350.3397480663631,0.0,42.043811610076666,0.0,111.67780986377306,0.0,461.81120912731626,0.0
2026-02-24 03:00:00+00:00,0.0,144.2191133216643,0.0,376.7681351973388,0.0,53.313283164158214,0.0,111.4944229993061,0.0,489.90504531753265,0.0
2026-02-24 04:00:00+00:00,0.0,185.00993357666223,0.0,485.99934778795296,0.0,95.67290706910246,0.0,155.21353166465633,0.0,668.1292799016261,0.0
2026-02-24 05:00:00+00:00,42.46295863177899,140.69422804025282,0.0,420.76982127814057,0.0,85.6163718754568,0.0,149.3003182321978,0.0,584.0063019421731,0.0
2026-02-24 06:00:00+00:00,336.64823492462307,142.53325376884422,0.0,421.23486725181795,0.0,92.22739949748743,0.0,149.98106738538957,0.0,527.2251771718376,0.0
2026-02-24 07:00:00+00:00,635.9228307692307,117.01772307692308,0.0,293.4477544282242,0.0,75.26104615384615,0.0,122.59400752356919,0.0,269.7566380482066,0.0
2026-02-24 08:00:00+00:00,770.8385251112525,94.55155753337571,0.0,301.42984794910205,0.0,43.10438652256833,0.0,140.93067274127748,0.0,255.14501014242398,0.0
2026-02-24 09:00:00+00:00,810.6220245880198,95.79754119801204,0.0,282.66430881348566,0.0,21.942453570494376,0.0,138.04734151304052,0.0,253.92633031694754,0.0
2026-02-24 10:00:00+00:00,804.2284532885385,112.13838997286472,0.0,288.25743977237994,0.0,22.139682129474092,0.0,147.94895259877626,0.0,276.28708223796644,0.0
2026-02-24 11:00:00+00:00,833.7097902097902,140.35897435897434,0.0,280.8013365774874,0.0,23.08041958041958,0.0,154.9239081021597,0.0,275.12557117116876,0.0
2026-02-24 12:00:00+00:00,760.0570187347271,172.95532153152476,0.0,277.29710450698906,0.0,23.76975291881618,0.0,144.90587203901129,0.0,268.0149302689316,0.0
2026-02-24 13:00:00+00:00,598.3225274725274,290.82142273701857,0.0,285.58877033248916,0.0,23.75521978021978,0.0,133.01742169343265,0.0,291.49463798431236,0.0
2026-02-24 14:00:00+00:00,357.14491748717234,409.13851015877356,0.0,264.881810074186,0.0,22.481486617667453,0.0,119.71218042830452,0.0,326.6410952338961,0.0
2026-02-24 15:00:00+00:00,105.43595049916804,378.40517513103094,0.0,322.45838445436914,0.0,43.425020798668875,0.0,86.20798634751797,0.0,408.79248276924494,0.0
2026-02-24 16:00:00+00:00,2.3146068875893446,281.29159056277217,0.0,319.54810801175347,0.0,63.855919428200146,0.0,77.71882638421687,0.0,414.9709487254683,0.0
2026-02-24 17:00:00+00:00,0.0,238.5597049098623,0.0,278.40433477194756,0.0,57.74999076468415,0.0,69.67574661755776,0.0,419.68522293594816,0.0
