,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other
2026-02-07 06:00:00+00:00,0.10976621446364329,657.7730757538042,0.0,1627.597011376838,0.0,0.0,0.0,760.8371375602347,0.16185728355415574,0.0,0.0,0.0,0.0,112.5711518111049
2026-02-07 07:00:00+00:00,0.5272126158616045,594.8705727959259,0.0,1687.0068846030363,0.0,0.0,0.0,753.2352809344952,0.16024009663902183,0.0,0.0,0.0,0.0,111.44980895404204
2026-02-07 08:00:00+00:00,2.7945934876192537,521.9098677918055,0.0,1725.8043881155318,0.0,0.0,0.0,755.857290927059,0.2787558803418941,0.0,0.0,0.0,0.0,112.35510379764281
2026-02-07 09:00:00+00:00,6.117519884485745,426.8419836043641,0.0,1822.0416977629689,0.0,0.0,0.0,755.4744006375636,0.15002328523299133,0.0,0.0,0.0,0.0,115.99937482538533
2026-02-07 10:00:00+00:00,9.61183182518544,363.96252223656313,0.0,1882.2098083081676,0.0,0.0,0.0,761.0656961849579,0.20510990393637166,0.0,0.0,0.0,0.0,118.64503154118947
2026-02-07 11:00:00+00:00,11.010887732709092,317.67342405563454,0.0,1921.6061439245905,0.0,0.0,0.0,766.2600690949017,0.239082704865804,0.0,0.0,0.0,0.0,120.7103924872983
2026-02-07 12:00:00+00:00,8.451893411190989,283.32637403226283,0.0,1957.6201996101527,0.0,0.0,0.0,768.550016290768,0.22889732438102578,0.0,0.0,0.0,0.0,121.34761933124464
2026-02-07 13:00:00+00:00,4.7631673805177,253.12523834321894,0.0,1962.290106556119,0.0,0.0,0.0,770.7436550539613,0.19672980418280353,0.0,0.0,0.0,0.0,118.45610286200021
2026-02-07 14:00:00+00:00,1.4952220797214835,245.96210885017084,0.0,1946.1860007743737,0.0,0.0,0.0,765.4723583798786,0.15198713682198695,0.0,0.0,0.0,0.0,116.68232277903331
2026-02-07 15:00:00+00:00,0.20260794452172226,238.6711513347981,0.0,1954.7869650899465,0.0,0.0,0.0,743.6542314725214,0.11641093704564873,0.0,0.0,0.0,0.0,116.11863322116636
2026-02-07 16:00:00+00:00,0.06521463228055059,226.8886381840788,0.0,1961.5018102409313,0.0,0.0,0.0,731.4698899544449,0.17766806871303845,0.0,0.0,0.0,0.0,114.94677891955142
2026-02-07 17:00:00+00:00,0.08907514778855867,228.07585047679376,0.0,1961.9551044788473,0.0,0.0,0.0,725.0939008044596,0.14454385036682948,0.0,0.0,0.0,0.0,114.29152524174381
2026-02-07 18:00:00+00:00,0.08591867418624163,240.066319201068,0.0,1996.679132555001,0.0,0.0,0.0,724.2340619896171,0.17466277562524457,0.0,0.0,0.0,0.0,114.28490480450267
2026-02-07 19:00:00+00:00,0.0818258253943777,258.8407908289567,0.0,2035.7146167363082,0.0,0.0,0.0,730.3453538524449,0.09324880386823668,0.0,0.0,0.0,0.0,115.72416395302771
2026-02-07 20:00:00+00:00,0.014065968556842402,327.0600785656278,0.0,1970.9055257653526,0.0,0.0,0.0,744.097653712436,0.11611681360245135,0.0,0.0,0.0,0.0,116.88155917442455
2026-02-07 21:00:00+00:00,0.012126396945637179,392.6930316372164,0.0,1898.1113998369667,0.0,0.0,0.0,749.9219163749308,0.09573471272871456,0.0,0.0,0.0,0.0,116.2407910412118
2026-02-07 22:00:00+00:00,0.0129123317148365,477.53842096303254,0.0,1805.8995359254222,0.0,0.0,0.0,760.2910306581392,0.1078274047167975,0.0,0.0,0.0,0.0,117.00027271697421
2026-02-07 23:00:00+00:00,0.015133476648299804,631.8405518294189,0.0,1667.6283968893326,0.0,0.0,0.0,771.8346752055112,0.07662519821923951,0.0,0.0,0.0,0.0,121.02961740086991
2026-02-08 00:00:00+00:00,0.015625067722690494,752.4735925195877,0.0,1540.5274901033704,0.0,0.0,0.0,778.3823489557972,0.09938205618672401,0.0,0.0,0.0,0.0,120.70156129733502
2026-02-08 01:00:00+00:00,0.016029712467957043,856.7160895061334,0.0,1432.7612015293623,0.0,0.0,0.0,781.9615445441467,0.12202549283565917,0.0,0.0,0.0,0.0,121.64810921505381
2026-02-08 02:00:00+00:00,0.015834971474234953,930.9210498994687,0.0,1328.717932514005,0.0,0.0,0.0,768.4730734725109,0.0763131155384817,0.0,0.0,0.0,0.0,118.67079602700247
2026-02-08 03:00:00+00:00,0.09444037976999237,978.5930658140715,0.0,1278.4073809089734,0.0,0.0,0.0,792.0407340852779,0.07865349891611498,0.0,0.0,0.0,0.0,121.08572531299104
2026-02-08 04:00:00+00:00,0.09867431448158473,956.9218431786625,0.0,1299.2598733267828,0.0,0.0,0.0,794.3521748160689,0.12394147408477672,0.0,0.0,0.0,0.0,122.71849288991922
2026-02-08 05:00:00+00:00,0.0970449505921107,888.4143898254124,0.0,1359.1979182898688,0.0,0.0,0.0,796.8198680533352,0.10173611593814749,0.0,0.0,0.0,0.0,122.64404276485348
2026-02-08 06:00:00+00:00,0.13878841272809095,834.3535841331659,0.0,1410.0211078599707,0.0,0.0,0.0,796.3528867076215,0.16946082140182045,0.0,0.0,0.0,0.0,123.18917206511179
2026-02-08 07:00:00+00:00,0.7927510122810574,756.5116823338648,0.0,1467.8752971529154,0.0,0.0,0.0,772.7808565500187,0.16439813995532948,0.0,0.0,0.0,0.0,119.77501481096483
2026-02-08 08:00:00+00:00,3.034323606847328,676.4818175624124,0.0,1560.2660222296386,0.0,0.0,0.0,798.2497601344945,0.23774280191213137,0.0,0.0,0.0,0.0,125.85533366469485
2026-02-08 09:00:00+00:00,6.937890140881671,615.2012091501556,0.0,1614.1724926632444,0.0,0.0,0.0,799.7790367890274,0.17018989291864678,0.0,0.0,0.0,0.0,129.33918136377224
2026-02-08 10:00:00+00:00,9.966829814202185,568.1347002801551,0.0,1637.2292614458088,0.0,0.0,0.0,802.9248690582983,0.18224993481249505,0.0,0.0,0.0,0.0,131.96208946672306
2026-02-08 11:00:00+00:00,11.758784705157208,493.0906413600106,0.0,1705.335107358476,0.0,0.0,0.0,816.2112285194622,0.2315492846863723,0.0,0.0,0.0,0.0,134.72268877220722
2026-02-08 12:00:00+00:00,10.16454000000264,382.75696072658945,0.0,1809.5486383184718,0.0,0.0,0.0,821.209652241559,0.23293423691435514,0.0,0.0,0.0,0.0,135.63727447646278
2026-02-08 13:00:00+00:00,7.016062274729048,309.00789571975645,0.0,1878.6071339084726,0.0,0.0,0.0,825.7865689555533,0.1874391417688871,0.0,0.0,0.0,0.0,136.09489999971987
2026-02-08 14:00:00+00:00,2.9057497012882383,278.0869809126662,0.0,1916.996834205967,0.0,0.0,0.0,821.0235131396959,0.16306325980927425,0.0,0.0,0.0,0.0,137.37385878057353
