,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-18 03:00:00+00:00,0.01318756493944273,411.09353609022315,24.657738003153202,52.026119505748646,104.15311160240093,516.224555022739,0.005464377807297153,0.0,5.706160803843244,3484.1530898818037,115.55383985437702,23.903402315011828,384.4255161592341,3.637179220313203,27.002428601732056,1.6696709966741303
2026-01-18 04:00:00+00:00,0.021341429579307007,393.2240087432624,17.876311403036336,49.70458109951428,89.43699615884594,442.46441978497495,0.005460821923710054,0.0,3.875768758519133,3255.207764950406,93.53237203624285,23.980737868624846,370.0969579315159,3.66418718145879,27.0405073554065,1.6685844766891835
2026-01-18 05:00:00+00:00,0.017163348946135828,345.55923240055046,18.20147200293173,42.087040800668376,124.65999411876032,499.6147549824584,0.005172290668453107,0.0,21.974332208815635,3218.629746443659,40.945509367681495,22.152147924756516,320.52042991957535,3.476968483466144,25.675613558367466,1.580422148694005
2026-01-18 06:00:00+00:00,0.3951126399413908,334.07471933341714,15.919570387371289,43.74243988940398,191.48768187064312,555.1546369233768,0.004954189395434827,0.0,36.94169901288138,3402.4770466714053,66.02357063272208,21.280911686512937,335.86986134887474,3.5034611044815205,25.560554216523585,1.5137800930495307
2026-01-18 07:00:00+00:00,44.19636367796213,322.2474025825038,16.955164865563393,36.977339143970376,252.5180018830539,577.9129173620374,0.0047872041729320955,0.0,109.43556647204665,3371.104140496487,0.0,22.432880223794708,320.42045451589877,3.7072482793892783,26.14997646250118,1.4627568306181404
2026-01-18 08:00:00+00:00,172.78792249609398,220.6862758300311,10.966950436585481,30.07343476513242,244.25829353235625,511.5734200427918,0.0038124445559873,0.0,106.99802189260646,2512.3797842217336,31.3313828279966,15.303802738068132,267.4462461311113,2.587171608761437,18.388567417846225,1.164913614329453
2026-01-18 09:00:00+00:00,385.3841614850375,236.0272566697761,9.770732509978473,36.666131347363034,179.84300038140057,532.8994392750818,50.51809028506022,0.0,79.12085821081132,2879.7468312833257,74.7622230040468,19.241035896108627,361.2641079534976,3.0584705419889278,20.3815627279302,7.966098428593505
2026-01-18 10:00:00+00:00,654.1102340578037,216.45137200354236,4.588520041160645,29.663897315692015,158.71041921679065,522.3260048534116,259.7223612684397,0.0,59.868127297550174,2584.233657256778,25.456981697072724,19.09147539786887,505.5128126962675,2.8700029755817256,19.174325374953682,36.669808547087136
2026-01-18 11:00:00+00:00,816.1712622760006,188.3812022387609,3.9346811145504,39.0089236107101,181.75010258111618,557.3991019955727,195.2124755730779,0.0,58.207892113046455,2560.3498490807838,113.02992063389479,19.08466991582276,488.8863588077719,2.4057589132390156,17.806245122098183,27.846556023554914
2026-01-18 12:00:00+00:00,748.5373481449635,172.48029990002016,4.197748940158014,35.80331145223402,152.29487533097915,526.9982505906112,143.30067807468865,0.0,50.21347048794741,2588.62597842592,103.57909536486778,16.92968332117821,417.4064303177294,2.449106095773417,16.94819550862149,20.610528044307202
2026-01-18 13:00:00+00:00,555.1522251926084,137.07308692370773,5.656326512037136,20.890775220874062,200.68927500760213,476.5296880332137,140.6725706207669,0.0,50.97853476229672,2656.826946756667,24.467160589343393,20.459929797714263,333.36956523048576,2.7261511839189634,15.270117481131416,19.46264668763263
