,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-06 16:00:00+00:00,0.0,311.3572421010492,0.0,1149.2292517651013,12.757911481066877,2.069968484824713,0.0,0.0,8.603086367889482,0.0,10.332539800068542
2026-02-06 17:00:00+00:00,0.0,330.24233334096357,0.0,1208.679148659808,14.517461189975496,2.347941831511537,0.0,0.0,9.67709901553841,0.0,10.761015962202768
2026-02-06 18:00:00+00:00,0.0,336.2220044640963,0.0,1184.7839802811488,14.325685040973251,2.25806969801402,0.0,0.0,9.579736744723728,0.0,10.680523771043942
2026-02-06 19:00:00+00:00,0.0,344.5323490050414,0.0,1247.152370717007,17.279831209987915,2.687036135444757,0.11401228294501144,0.0,11.289017866536794,0.014981023735813753,10.755401759301378
2026-02-06 20:00:00+00:00,0.0,323.7253806825258,0.0,1228.0023096227683,19.78991012002414,3.154211320217588,0.0,0.0,13.392018766408647,0.0,9.986169488055488
2026-02-06 21:00:00+00:00,0.0,293.0261344787156,0.0,1045.670513252243,13.51186292986641,2.167206500518159,0.0,0.0,9.808929126253446,0.0,9.040353712403348
2026-02-06 22:00:00+00:00,0.0,305.36522824439066,0.0,964.4589781185425,9.640489288811215,1.3514486383391913,0.0,0.0,6.782998441095504,0.0,9.425857268820957
2026-02-06 23:00:00+00:00,0.0,231.92863326226077,0.0,557.4618287506742,3.446524620400857,0.5483412667477621,0.0,0.0,2.5376553349182047,0.0,6.627016764998327
2026-02-07 00:00:00+00:00,0.0,196.86645705469732,0.0,439.1939679580867,0.0,0.0,0.0,0.0,0.0,0.0,5.96457498721595
2026-02-07 01:00:00+00:00,0.0,161.10709651340716,0.0,345.3593721764492,0.0,0.0,0.0,0.0,0.0,0.0,4.85853131014357
2026-02-07 02:00:00+00:00,0.0,158.68461970354605,0.0,345.10873021796533,1.2607862718456664,0.20261126898202653,0.0,0.0,0.9267398385823967,0.0,4.566512699078494
2026-02-07 03:00:00+00:00,0.0,193.57195988987203,0.0,434.9398830198202,0.0,0.0,0.0,0.0,0.0,0.0,5.613157090307796
