,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other
2026-01-05 10:00:00+00:00,9.471418223415133,1615.554531946021,64.56897056270608,68.18049711898094,5258.06435715434,276.5845951893113,0.21421527776793833,0.0,0.0,48.98011197191142,26.872981599109398,3.713075650014916,13.842875242977838,0.0,119.25237006344481
2026-01-05 11:00:00+00:00,19.413793758607717,1591.255566600756,145.22022386777365,141.73915913574538,5324.82167037569,281.1801451883188,0.44055517854299514,0.0,0.0,102.23398570105644,60.43643783544369,7.74937237878667,25.80707420197866,0.0,132.77701577729985
2026-01-05 12:00:00+00:00,12.122837451480482,1423.0349757104163,103.68202204496305,94.94821885579049,5446.930066990852,293.90636256305083,0.31907514491751865,0.0,0.0,65.07428552126258,45.78667065794888,5.654883795670702,20.945324015025193,0.0,133.89527724862316
2026-01-05 13:00:00+00:00,15.22974961200865,1386.5281681907586,142.4654370953906,152.64884417919345,5400.347496051676,348.28541444819643,0.49982026813959984,0.0,0.0,105.14825264473,72.97913058522145,7.927558788258478,32.7740391943897,0.0,131.51608894203787
2026-01-05 14:00:00+00:00,5.116558735656114,1375.0622962741868,136.22638890065917,169.94200647347287,5291.1652932526995,324.80434347235195,0.6136254808655075,0.0,0.0,115.547899662324,90.97454936551254,8.717940380473273,35.51429045271794,0.0,123.88980754908043
2026-01-05 15:00:00+00:00,0.9327899356039986,1244.3820838507374,167.39017951979264,158.87126461725413,5262.490507016071,355.2175369764268,0.5141118748220121,0.0,0.0,110.1515302484504,74.0379825569363,8.317732673187436,37.847063208717984,0.0,124.04721752199904
2026-01-05 16:00:00+00:00,0.6310583378030863,1118.1753093104571,142.33910836795005,131.69570840187816,5098.357714205762,260.27974242449625,0.475570605796153,0.0,0.0,88.35476415441724,71.71885863667445,8.762801438374833,27.078892611766072,0.0,124.05547150462606
2026-01-05 17:00:00+00:00,0.5544863612421763,1048.6356736235382,130.2099064533296,128.77749611124366,4826.78894699856,107.46023751437035,0.4856776905038415,0.0,0.0,84.36893526437426,70.65127063550628,6.36517886344323,27.913590730753373,0.0,118.88859975313389
2026-01-05 18:00:00+00:00,0.2455786064548945,931.789684652202,63.408795702521935,66.12414067911075,5299.9665722269665,477.98207501866494,0.21533875139381095,0.0,0.0,47.83724802717796,33.09069546616351,3.579594595053713,19.29102659966506,0.0,121.61924967462507
2026-01-05 19:00:00+00:00,0.27978991838378464,860.5980997584329,68.19254284430143,82.1938615075804,5252.472517563454,476.68044272293827,0.27509906214935226,0.0,0.0,57.59262155758226,41.29155720871522,4.173788625273358,24.279760728855535,0.0,120.54491850233302
2026-01-05 20:00:00+00:00,0.2944600797220607,740.0394504672065,61.10335059268544,109.88338916251885,5301.644791120909,572.7331215453149,0.3447436561205755,0.0,0.0,58.64129216318589,47.22813367477789,3.5473273092501505,28.378958505422553,0.0,121.91098172288525
2026-01-05 21:00:00+00:00,0.339645251719665,608.167573256836,45.62693115293119,121.80589081229317,5360.1103280032885,671.6381859697324,0.3451293282700852,0.0,0.0,60.889153063102334,45.19709568116507,3.408055891017945,29.36220062103757,0.0,130.3598109686069
2026-01-05 22:00:00+00:00,0.07097992650454502,457.106066719008,4.81931139288887,14.717351753451695,5439.280740971316,793.4698097779279,0.03763034549201346,0.0,0.0,6.9954812269653015,5.2701909330943755,0.37455715962625474,10.107918779058036,0.0,124.09996101466733
2026-01-05 23:00:00+00:00,0.02762483913407739,379.74576298523544,0.0,0.0,5908.978436795396,931.8387563997118,0.0,0.0,0.0,0.0,0.30940348904586434,0.0,9.622249400696761,0.0,128.1777660907811
2026-01-06 00:00:00+00:00,0.025484651174324014,288.76212336763365,0.0,0.0,5993.545959452905,941.1824876764077,0.0,0.0,0.0,0.0,0.31403977567308894,0.0,10.21502267811656,0.0,124.77988239809018
2026-01-06 01:00:00+00:00,0.04519466325622762,248.6547190331475,8.87733491974072,73.36413091574484,5901.088286661337,1015.4059907552557,0.2120971305727119,0.0,0.0,34.55793363835041,25.622649210080425,1.8456486678648323,20.155237016808684,0.0,116.64577738783974
2026-01-06 02:00:00+00:00,0.06441015298167428,218.45675024945638,18.559517746466923,155.19762097652287,5675.591232809956,933.4561669670854,0.423870150581947,0.0,0.0,72.573275070147,51.30931687585783,3.881341451181944,30.78291611290769,0.0,110.67858143685518
2026-01-06 03:00:00+00:00,0.04239299018174028,242.86689625841234,18.74352721128844,104.12076221134974,5662.867673853051,917.4720906641937,0.2454844066047648,0.0,0.0,49.66357305245817,32.00772350180223,2.6512534607663465,24.877911687548156,0.0,100.24071070234413
2026-01-06 04:00:00+00:00,0.01789976784383936,290.8311506302068,8.335492314128384,43.27089898999452,5815.831637607045,996.9828416994486,0.10201351356445201,0.0,0.0,20.765328874389038,13.684558122107868,1.1121681753260928,18.192343533690803,0.0,78.04866677225459
2026-01-06 05:00:00+00:00,0.007299696155965936,353.08630878232947,0.0,0.0,6020.702512306071,959.7077010959638,0.0,0.0,0.0,0.0,0.3148165033477957,0.0,11.261394170457661,0.0,83.49496744567494
2026-01-06 06:00:00+00:00,0.004477753564197611,374.81374121969577,0.0,0.0,5905.646339767922,742.187766460496,0.0,0.0,0.0,0.0,0.24022676951308222,0.0,8.431744824850297,0.0,79.07570320395938
2026-01-06 07:00:00+00:00,0.0035185606269896256,376.24999354667074,0.0,0.0,5593.235029247581,706.9210421208086,0.0,0.0,0.0,0.0,0.22728588336937228,0.0,7.450409060264831,0.0,76.11272158067803
2026-01-06 08:00:00+00:00,0.005669474664447317,390.2930967465845,0.0,0.0,5552.795899398457,731.8750322321638,0.0,0.0,0.0,0.0,0.23471991080645366,0.0,7.488334344290829,0.0,73.6572478930331
