,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Other
2026-02-22 11:00:00+00:00,60.63592540293129,4.417392998003603,0.9310025807079905,0.0,10.018990115401472,0.0,0.0,0.0,0.0,0.0,0.3583775624482641,0.0,3.638311340507377
2026-02-22 12:00:00+00:00,68.35523334843678,4.159492523787947,1.1010421386497509,0.0,11.67195287720888,0.0,0.0,0.0,0.0,0.0,0.49841413683733576,0.0,4.213864975079293
2026-02-22 13:00:00+00:00,62.52511415525114,2.735159817351598,1.1187214611872147,0.0,11.885844748858448,0.0,0.0,0.0,0.0,0.0,0.5205479452054794,0.0,4.2146118721461185
2026-02-22 14:00:00+00:00,22.369937744689043,2.1709132918297924,0.5358449393492074,0.0021179641871510173,5.606251203388743,0.0,0.0,0.0,0.0,0.0,0.3769976253128811,0.0,1.9379372312431808
2026-02-22 15:00:00+00:00,7.252046531667385,1.013356311934511,0.32951314088754846,0.12546316242998706,3.9045239121068507,0.0,0.0,0.4825506247307195,0.0,0.0,1.6227488151658769,0.0,1.2697975010771219
2026-02-22 16:00:00+00:00,0.02821236578204565,2.021721497257176,0.0,49.359470078438605,44.973944616630355,0.0,0.0,10.706316222464931,98.00736068654993,0.0,2.902974532876963,0.0,0.0
2026-02-22 17:00:00+00:00,0.0,1.4403896193847474,0.0,63.36561629372392,31.12163493882602,0.0,0.0,14.28730016099442,84.31791170319053,0.0,1.4671472838803519,0.0,0.0
2026-02-22 18:00:00+00:00,0.0,0.9061844611505312,0.0,52.555270719070315,24.03317597702661,0.0,0.0,11.81686119859077,65.62928687166317,0.0,1.0592207724985798,0.0,0.0
2026-02-22 19:00:00+00:00,0.0,2.5494313229028243,0.0,34.265145763337756,28.795913236629737,0.0,0.0,7.638008284723982,62.93123597859142,0.0,1.8202654138142766,0.0,0.0
2026-02-22 20:00:00+00:00,0.0,3.434055040284873,0.0,44.44854514275633,27.237930552934166,0.0,0.0,8.668845305100294,71.41161038008285,0.0,1.7990135788414747,0.0,0.0
2026-02-22 21:00:00+00:00,0.0,3.4353143188012254,0.0,19.983677328388772,20.642381112646028,0.0,0.0,3.7568664811787507,47.55047507859361,0.0,1.6312856803916276,0.0,0.0
2026-02-22 22:00:00+00:00,0.0,2.859729436565299,0.0,10.544443242197538,28.62521735819049,0.0,0.0,2.4484930875016695,51.191052242704785,0.0,2.3310646328402145,0.0,0.0
2026-02-22 23:00:00+00:00,0.0,1.2402974039336119,0.0,45.64571066950409,21.49620053459953,0.0,0.0,0.0300287258265655,74.40951704579055,0.0,1.1782456203456613,0.0,0.0
2026-02-23 00:00:00+00:00,0.0,1.5299984665023707,0.0,5.217349417208298,10.883757834692153,0.0,0.0,0.004179274597337747,22.4326670972589,0.0,0.9320479097409406,0.0,0.0
2026-02-23 01:00:00+00:00,0.0,2.599155638731317,0.0,19.107001937011262,13.99342401576553,0.0,0.0,0.017992682401893965,49.28167169795526,0.0,1.0007540281347334,0.0,0.0
2026-02-23 02:00:00+00:00,0.0,1.7433395830072334,0.0,18.88691953208082,10.892623175341917,0.0,0.0,0.013864271928788058,38.62246702879284,0.0,0.8407864088483998,0.0,0.0
2026-02-23 03:00:00+00:00,0.0,0.28017141870180773,0.0,27.280680535397515,7.062509289745595,0.0,0.0,0.017739074342847928,35.16346164531955,0.0,0.19543803649267877,0.0,0.0
2026-02-23 04:00:00+00:00,0.0,0.019997511420800966,0.0,32.44885080967702,6.069466910784437,0.0,0.0,0.05732619940629611,36.40435856871145,0.0,0.0,0.0,0.0
2026-02-23 05:00:00+00:00,0.0012788521522145975,0.00511540860885839,0.0,2.4415470991890205,0.4751403618215845,0.0,0.0,0.5191827822832189,2.557735495945103,0.0,0.0,0.0,0.0
2026-02-23 06:00:00+00:00,1.533714553550504,0.41893602062338875,0.0,94.72245605812046,16.321134286383874,0.0,0.0,20.37868291539723,84.62507616592454,0.0,0.0,0.0,0.0
2026-02-23 07:00:00+00:00,1.4038713743517972,0.7223750066642135,0.0,46.36768451165422,18.88204234407531,0.0,0.0,9.421536778983173,55.267292342819616,0.0,0.9351976414516602,0.0,0.0
2026-02-23 08:00:00+00:00,2.2833187872891423,0.12046934365672177,0.0,41.780997423350556,10.082278219152624,0.0,0.0,9.40908355538771,42.118430975757505,0.0,0.20542169540574076,0.0,0.0
2026-02-23 09:00:00+00:00,3.1423058550749525,0.10060810339367851,0.0,43.06582330114804,8.56835393442359,0.0,0.0,10.393496030957989,49.72941277500175,0.0,0.0,0.0,0.0
2026-02-23 10:00:00+00:00,0.316472941744559,0.025868313041078877,0.0,3.2535612044286553,0.5984892905184009,0.0,0.0,0.72674438657607,4.078863863691235,0.0,0.0,0.0,0.0
2026-02-23 11:00:00+00:00,0.11330445976195155,0.024882846435297624,0.0,1.980393027222747,0.4157794278974502,0.0,0.0,0.5325461797474936,2.9330940589350596,0.0,0.0,0.0,0.0
2026-02-23 12:00:00+00:00,0.2274416201186053,0.05182214129284678,0.0,4.521001993159281,0.824675804030611,0.0,0.0,1.1191343290927436,6.255924112305913,0.0,0.0,0.0,0.0
2026-02-23 13:00:00+00:00,1.8683684933216824,0.06522281862439146,0.0,20.291162152040943,3.7617026588440896,0.0,0.0,4.3767944076894265,24.636749469479465,0.0,0.0,0.0,0.0
2026-02-23 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23 15:00:00+00:00,19.003304138039542,15.68699847904757,1.4672470761000682,0.5018094089264173,15.343368122934914,0.0,0.0,5.383542245764934,0.0,0.0,41.737452142445065,0.0,4.8762783867414905
2026-02-23 16:00:00+00:00,6.735610222116073,37.694053021256266,3.748268449964175,1.2963935992357298,40.42775256747074,0.0,0.0,12.653928827322664,0.0,0.0,120.60687843324575,0.0,12.837114879388585
2026-02-23 17:00:00+00:00,0.0,34.15463026952315,3.2992398064961987,1.1497350840820086,35.95421561852108,0.0,0.0,15.471435153190509,0.0,0.0,115.54837595024188,0.0,11.422368117945174
2026-02-23 18:00:00+00:00,0.0,28.194070080862534,3.517520215633423,1.2398921832884098,38.78706199460916,0.0,0.0,19.62264150943396,0.0,0.0,126.29380053908356,0.0,12.34501347708895
2026-02-23 19:00:00+00:00,0.0,25.65574261578096,3.072613983583967,1.0748307471092207,33.53004613264634,0.0,0.0,10.666526870768678,0.0,0.0,110.40381043676234,0.0,10.596429213348511
2026-02-23 20:00:00+00:00,0.0,0.034543611309277966,0.0,20.919611008898737,3.2948128261930694,0.0,0.0,3.0201911162843085,18.73084143731461,0.0,0.0,0.0,0.0
2026-02-23 21:00:00+00:00,0.0,0.5059134403320493,0.0,59.80225523771608,48.18729664620417,0.0,0.0,11.627134889811183,110.53872581385454,0.0,3.3386739720819922,0.0,0.0
2026-02-23 22:00:00+00:00,0.0,0.2049730724120588,0.0,45.252440063745105,42.95959178932636,0.0,0.0,8.068364802671324,94.49059232016887,0.0,3.024037951676294,0.0,0.0
2026-02-23 23:00:00+00:00,0.0,0.001048136979475416,0.0,71.7222168578982,17.758278314435962,0.0,0.0,1.680540724051727,101.80462473060622,0.0,0.03329123602841998,0.0,0.0
2026-02-24 00:00:00+00:00,0.0,0.0,0.0,52.268293341980105,13.30090791180285,0.0,0.0,0.0416126242974492,74.38918612191958,0.0,0.0,0.0,0.0
2026-02-24 01:00:00+00:00,0.0,0.0,0.0,55.66779458598725,15.400875796178342,0.0,0.0,0.04816878980891719,93.88316082802547,0.0,0.0,0.0,0.0
2026-02-24 02:00:00+00:00,0.0,0.0,0.0,57.22967561593968,14.709055450822337,0.0,0.0,0.04605083533771046,89.01521809790027,0.0,0.0,0.0,0.0
2026-02-24 03:00:00+00:00,0.0,0.0,0.0,64.28058547362606,14.279849028813404,0.0,0.0,0.044554911166344476,86.39501058639419,0.0,0.0,0.0,0.0
2026-02-24 04:00:00+00:00,0.0,0.39326585718881074,0.0,37.174049803740644,11.336223809918408,0.0,0.0,0.024033265986937936,52.702413940193914,0.0,0.3700133229712992,0.0,0.0
